land_cover_class,n_rows,land_cover_label,share_pct
52,841648,Shrub/Scrub,47.286092636352706
22,408963,"Developed, Low Intensity",22.97666281253055
23,289560,"Developed, Medium Intensity",16.26827484148039
21,173560,"Developed, Open Space",9.751076742254929
24,41770,"Developed, High Intensity",2.3467531431435145
71,12156,Grassland/Herbaceous,0.6829574146050409
82,9884,Cultivated Crops,0.5553102242477973
90,1434,Woody Wetlands,0.08056605236456307
81,417,Pasture/Hay,0.023428203511870853
42,275,Evergreen Forest,0.015450254114543127
95,113,Emergent Herbaceous Wetlands,0.006348649872521358
31,53,Barren Land,0.002977685338439221
41,44,Deciduous Forest,0.0024720406583269004
43,29,Mixed Forest,0.0016292995248063662
