land_cover_class,n_rows,land_cover_label,share_pct
23,1827680,"Developed, Medium Intensity",36.15831012208336
22,1428571,"Developed, Low Intensity",28.262449252284178
21,672868,"Developed, Open Space",13.31183238598988
24,560728,"Developed, High Intensity",11.093285979020155
81,236764,Pasture/Hay,4.684072779559302
90,117414,Woody Wetlands,2.3228857484211107
43,68660,Mixed Forest,1.3583502434683552
42,63462,Evergreen Forest,1.2555144647682603
95,45473,Emergent Herbaceous Wetlands,0.8996251182819184
82,20923,Cultivated Crops,0.41393478217431395
31,5158,Barren Land,0.10204442988362622
71,3244,Grassland/Herbaceous,0.06417838901560362
41,2462,Deciduous Forest,0.04870751965364245
52,1254,Shrub/Scrub,0.02480878539629067
