land_cover_class,n_rows,land_cover_label,share_pct
22,350033,"Developed, Low Intensity",33.14970130199751
21,188615,"Developed, Open Space",17.862689835176283
23,162034,"Developed, Medium Intensity",15.345349440675205
42,120339,Evergreen Forest,11.396645187685385
90,61062,Woody Wetlands,5.782846362778858
24,49431,"Developed, High Intensity",4.681338288272931
43,40191,Mixed Forest,3.806268680463219
41,34157,Deciduous Forest,3.234821709302634
81,20208,Pasture/Hay,1.9137885968202015
82,9314,Cultivated Crops,0.8820777410324306
71,9227,Grassland/Herbaceous,0.873838449270586
52,5581,Shrub/Scrub,0.5285458312971865
31,4459,Barren Land,0.4222873789202929
95,1265,Emergent Herbaceous Wetlands,0.11980119630728202
