land_cover_class,n_rows,land_cover_label,share_pct
22,427068,"Developed, Low Intensity",28.819998839285592
21,377748,"Developed, Open Space",25.491717762844452
23,226388,"Developed, Medium Intensity",15.277430988105376
43,106970,Mixed Forest,7.218698839150627
90,100072,Woody Wetlands,6.753198375539698
41,98558,Deciduous Forest,6.6510285144340235
24,74640,"Developed, High Intensity",5.036960655830633
42,31623,Evergreen Forest,2.134027422552681
82,10909,Cultivated Crops,0.7361763638056856
81,8572,Pasture/Hay,0.5784676680302812
52,7744,Shrub/Scrub,0.5225914163819992
31,6061,Barren Land,0.4090168614012522
71,2855,Grassland/Herbaceous,0.1926650947534359
95,2638,Emergent Herbaceous Wetlands,0.17802119788426057
