land_cover_class,n_rows,land_cover_label,share_pct
23,289312,"Developed, Medium Intensity",41.32656632331661
22,176243,"Developed, Low Intensity",25.175305651062832
24,94838,"Developed, High Intensity",13.547066478302668
21,60616,"Developed, Open Space",8.658649292992202
90,52681,Woody Wetlands,7.5251798766682425
81,12253,Pasture/Hay,1.7502710470343383
95,11333,Emergent Herbaceous Wetlands,1.6188543031127198
82,1055,Cultivated Crops,0.15070072264924728
43,680,Mixed Forest,0.09713411507250062
42,314,Evergreen Forest,0.04485310607759587
71,308,Grassland/Herbaceous,0.04399604035636793
31,243,Barren Land,0.03471116170973184
52,185,Shrub/Scrub,0.026426193071195023
41,2,Deciduous Forest,0.00028568857374264886
