land_cover_class,n_rows,land_cover_label,share_pct
22,855761,"Developed, Low Intensity",30.057096333906777
23,814882,"Developed, Medium Intensity",28.621293532617898
90,410558,Woody Wetlands,14.420125895730349
21,393125,"Developed, Open Space",13.807822506829714
24,167166,"Developed, High Intensity",5.871411019845332
81,77758,Pasture/Hay,2.731112654972502
42,60414,Evergreen Forest,2.1219352341560835
95,44110,Emergent Herbaceous Wetlands,1.549285979717033
82,17127,Cultivated Crops,0.6015556784088331
31,4026,Barren Land,0.14140615176469679
71,1255,Grassland/Herbaceous,0.04407966231115114
52,906,Shrub/Scrub,0.03182165263259198
43,26,Mixed Forest,0.0009132041594342068
41,4,Deciduous Forest,0.00014049294760526258
