land_cover_class,n_rows,land_cover_label,share_pct
22,2034504,"Developed, Low Intensity",28.72903804581358
21,1807134,"Developed, Open Space",25.518367838000458
41,907481,Deciduous Forest,12.814453141823735
23,888057,"Developed, Medium Intensity",12.540168679860582
42,463578,Evergreen Forest,6.546140975491898
24,328186,"Developed, High Intensity",4.634283383125998
81,232700,Pasture/Hay,3.2859346323530554
43,212559,Mixed Forest,3.0015254813851873
90,158026,Woody Wetlands,2.231470159915015
31,21325,Barren Land,0.3011283026855561
71,19402,Grassland/Herbaceous,0.2739738020494799
52,6744,Shrub/Scrub,0.09523138444602065
95,1382,Emergent Herbaceous Wetlands,0.01951509094074741
82,621,Cultivated Crops,0.008769082108686065
