land_cover_class,n_rows,land_cover_label,share_pct
22,546310,"Developed, Low Intensity",28.798690139568034
21,481632,"Developed, Open Space",25.38919428401536
23,284097,"Developed, Medium Intensity",14.97615176837484
41,233880,Deciduous Forest,12.328966429027789
81,99390,Pasture/Hay,5.23933629802066
24,89904,"Developed, High Intensity",4.739282528798163
43,69750,Mixed Forest,3.6768659501654195
42,49652,Evergreen Forest,2.6174014072776117
90,14218,Woody Wetlands,0.7495007896695618
82,13250,Cultivated Crops,0.698472743221388
71,7530,Grassland/Herbaceous,0.3969433778458152
31,5396,Barren Land,0.2844497299941592
52,1908,Shrub/Scrub,0.10058007502387986
95,79,Emergent Herbaceous Wetlands,0.004164478997319973
