land_cover_class,n_rows,land_cover_label,share_pct
22,478038,"Developed, Low Intensity",28.450443029838453
21,429521,"Developed, Open Space",25.56295261175731
23,271326,"Developed, Medium Intensity",16.14797339440368
41,160006,Deciduous Forest,9.5227609257681
81,146683,Pasture/Hay,8.729842261380464
24,94191,"Developed, High Intensity",5.605779623008032
43,61827,Mixed Forest,3.679635387157134
42,21212,Evergreen Forest,1.262432688507887
82,7688,Cultivated Crops,0.45755150430174596
31,4072,Barren Land,0.24234517761663754
90,2278,Woody Wetlands,0.13557522460970048
71,2037,Grassland/Herbaceous,0.12123210383229142
95,1140,Emergent Herbaceous Wetlands,0.06784712732882289
52,229,Shrub/Scrub,0.013628940489737229
