land_cover_class,n_rows,land_cover_label,share_pct
23,826862,"Developed, Medium Intensity",29.198393290664313
22,767119,"Developed, Low Intensity",27.088730964467004
21,545048,"Developed, Open Space",19.24689472522622
24,257470,"Developed, High Intensity",9.09185610240565
42,145829,Evergreen Forest,5.149556389318032
43,121559,Mixed Forest,4.292527035974398
81,47369,Pasture/Hay,1.6727080114764952
90,46790,Woody Wetlands,1.6522621937762083
41,35289,Deciduous Forest,1.2461355109247407
95,23751,Emergent Herbaceous Wetlands,0.8387022732288678
82,7225,Cultivated Crops,0.255131317589936
52,4568,Shrub/Scrub,0.1613065548444052
31,1738,Barren Land,0.06137276539395277
71,1258,Grassland/Herbaceous,0.04442286470977709
