land_cover_class,n_rows,land_cover_label,share_pct
23,538215,"Developed, Medium Intensity",35.97414906330793
22,394212,"Developed, Low Intensity",26.349026412390483
21,214514,"Developed, Open Space",14.3380593483393
24,147185,"Developed, High Intensity",9.837806694133343
81,93401,Pasture/Hay,6.242898277941015
43,40440,Mixed Forest,2.702998965320871
42,28460,Evergreen Forest,1.9022589157525218
90,13219,Woody Wetlands,0.8835544837432392
95,11423,Emergent Herbaceous Wetlands,0.7635103160450125
41,10703,Deciduous Forest,0.7153857053864807
82,3128,Cultivated Crops,0.2090746974165105
52,786,Shrub/Scrub,0.05253603330223058
71,234,Grassland/Herbaceous,0.015640498464022844
31,196,Barren Land,0.013100588457044775
