land_cover_class,n_rows,land_cover_label,share_pct
23,583507,"Developed, Medium Intensity",39.795168167520984
22,313489,"Developed, Low Intensity",21.379944839852797
24,217103,"Developed, High Intensity",14.80642116491029
21,135858,"Developed, Open Space",9.26551345040088
42,59194,Evergreen Forest,4.037029863409072
52,52380,Shrub/Scrub,3.5723151712228804
71,37657,Grassland/Herbaceous,2.5682068041760213
95,28833,Emergent Herbaceous Wetlands,1.9664101437928467
31,18107,Barren Land,1.2348971135038698
43,16907,Mixed Forest,1.1530571324907453
82,1710,Cultivated Crops,0.11662197294370227
90,1143,Woody Wetlands,0.077952581915001
41,371,Deciduous Forest,0.025302194129890963
81,17,Pasture/Hay,0.0011593997310192625
