land_cover_class,n_rows,land_cover_label,share_pct
23,2454185,"Developed, Medium Intensity",51.819095311865574
22,961057,"Developed, Low Intensity",20.29231874660451
24,792697,"Developed, High Intensity",16.737467385885704
52,232864,Shrub/Scrub,4.916826486471992
21,215338,"Developed, Open Space",4.546772287446345
71,26258,Grassland/Herbaceous,0.5544267464347498
43,14895,Mixed Forest,0.3145017285454184
95,12593,Emergent Herbaceous Wetlands,0.2658959561982178
90,9464,Woody Wetlands,0.1998284228904894
42,6946,Evergreen Forest,0.14666190040124044
82,5588,Cultivated Crops,0.11798829534151045
31,3872,Barren Land,0.08175566921301511
81,262,Pasture/Hay,0.005532021005632737
41,44,Deciduous Forest,0.0009290416956024445
