land_cover_class,n_rows,land_cover_label,share_pct
23,705453,"Developed, Medium Intensity",36.20160118726584
22,558789,"Developed, Low Intensity",28.675271812340565
21,246547,"Developed, Open Space",12.652006821031067
52,233370,Shrub/Scrub,11.97580514800026
24,134100,"Developed, High Intensity",6.881584909572074
71,26046,Grassland/Herbaceous,1.3365977670001061
95,18352,Emergent Herbaceous Wetlands,0.9417661913532193
90,16087,Woody Wetlands,0.8255336050729751
82,2847,Cultivated Crops,0.14609897268867783
31,2147,Barren Land,0.11017720209434186
81,1848,Pasture/Hay,0.09483347436904693
43,1534,Mixed Forest,0.07871999441673051
42,1512,Evergreen Forest,0.07759102448376567
41,47,Deciduous Forest,0.002411890311333986
