land_cover_class,n_rows,land_cover_label,share_pct
23,2056029,"Developed, Medium Intensity",30.58218526563362
22,1944849,"Developed, Low Intensity",28.92845014913811
21,1012546,"Developed, Open Space",15.061008070399911
24,748745,"Developed, High Intensity",11.137128078795019
41,276081,Deciduous Forest,4.106537548994394
82,264755,Cultivated Crops,3.938070163408604
90,176851,Woody Wetlands,2.6305514398933925
95,87070,Emergent Herbaceous Wetlands,1.295113478982407
81,62008,Pasture/Hay,0.9223314184534408
71,31915,Grassland/Herbaceous,0.4747162820916908
31,31687,Barren Land,0.47132492027696715
52,25941,Shrub/Scrub,0.38585665278836134
43,3786,Mixed Forest,0.05631445539712177
42,700,Evergreen Forest,0.010412075746958595
