land_cover_class,n_rows,land_cover_label,share_pct
22,1032065,"Developed, Low Intensity",35.030829940783974
23,691514,"Developed, Medium Intensity",23.47168960837863
21,562510,"Developed, Open Space",19.09297587844796
24,188176,"Developed, High Intensity",6.387157257475997
41,136504,Deciduous Forest,4.6332822159813345
95,134818,Emergent Herbaceous Wetlands,4.576055220317145
82,73645,Cultivated Crops,2.499692820693499
81,65652,Pasture/Hay,2.228390699493103
90,48297,Woody Wetlands,1.6393192227718638
31,5176,Barren Land,0.17568619783976577
43,3157,Mixed Forest,0.1071563613949267
42,2409,Evergreen Forest,0.08176739771947368
71,2211,Grassland/Herbaceous,0.0750467896877361
52,28,Shrub/Scrub,0.0009503890145891503
