land_cover_class,n_rows,land_cover_label,share_pct
23,1259178,"Developed, Medium Intensity",34.00565348465465
22,1098790,"Developed, Low Intensity",29.6741779100363
21,589655,"Developed, Open Space",15.924359864525936
24,369837,"Developed, High Intensity",9.987903908584984
90,156161,Woody Wetlands,4.2173202309897055
41,154521,Deciduous Forest,4.173030010135439
82,35766,Cultivated Crops,0.9659049018742055
81,15013,Pasture/Hay,0.40544456444213633
95,12638,Emergent Herbaceous Wetlands,0.34130476290013445
31,5459,Barren Land,0.1474270217338055
71,2291,Grassland/Herbaceous,0.0618712780348321
43,2132,Mixed Forest,0.0575772871105465
42,1282,Evergreen Forest,0.034621989716566895
52,126,Shrub/Scrub,0.0034027852607546242
