model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
global_mean_baseline,outer_fold,0,0,0.10019999999997745,0.0975
land_cover_only_baseline,outer_fold,0,0,0.03386228961895202,0.03404001194386384
land_cover_only_baseline,outer_fold,0,1,0.0640440249480409,0.07114779874213836
land_cover_only_baseline,outer_fold,0,2,0.08147131445119335,0.07595964281572538
land_cover_only_baseline,outer_fold,0,3,0.11888185301441892,0.12129565816678153
land_cover_only_baseline,outer_fold,0,4,0.12483726312744121,0.15311203319502076
land_cover_only_baseline,outer_fold,0,5,0.19111350306165714,0.20230263157894737
impervious_only_baseline,outer_fold,0,0,0.06649999999999656,0.07227615965480043
impervious_only_baseline,outer_fold,0,1,0.07183333333333099,0.06350184956843404
impervious_only_baseline,outer_fold,0,2,0.07470833333332262,0.09382486026084642
impervious_only_baseline,outer_fold,0,3,0.08083333333333824,0.07035497281739686
impervious_only_baseline,outer_fold,0,4,0.09016666666666975,0.09861717612809316
impervious_only_baseline,outer_fold,0,5,0.10874999999999209,0.10878517501715855
impervious_only_baseline,outer_fold,0,6,0.1153333333333329,0.10246066962484873
impervious_only_baseline,outer_fold,0,7,0.1318333333333351,0.13027001421127427
impervious_only_baseline,outer_fold,0,8,0.18733333333333926,0.18979118329466357
climate_only_baseline,outer_fold,0,0,0.09955000000001514,0.0999
climate_only_baseline,outer_fold,0,1,0.09986666666667336,0.0936
climate_only_baseline,outer_fold,0,2,0.10137142857140118,0.0972
global_mean_baseline,outer_fold,1,0,0.10035833333328574,0.09686666666666667
land_cover_only_baseline,outer_fold,1,0,0.05945667030953038,0.04971428571428571
land_cover_only_baseline,outer_fold,1,1,0.08393724060681436,0.0668230973270761
land_cover_only_baseline,outer_fold,1,2,0.1190152377251641,0.11973127185716916
land_cover_only_baseline,outer_fold,1,3,0.15100535912584825,0.09155429382540808
land_cover_only_baseline,outer_fold,1,4,0.18551149327501376,0.20950243172465394
