model_name,outer_fold,city_id,city_name,climate_group,row_count,positive_count,prevalence,pr_auc,recall_at_top_10pct
climate_only_baseline,0,2,Tucson,hot_arid,5000,521,0.1042,0.1042,0.003838771593090211
climate_only_baseline,0,9,Bakersfield,hot_arid,5000,478,0.0956,0.0956,0.28870292887029286
climate_only_baseline,0,13,Richmond,hot_humid,5000,479,0.0958,0.0958,0.0709812108559499
climate_only_baseline,0,15,Tampa,hot_humid,5000,470,0.094,0.094,0.1148936170212766
climate_only_baseline,0,18,Atlanta,hot_humid,5000,509,0.1018,0.1018,0.18467583497053044
climate_only_baseline,0,24,San Jose,mild_cool,5000,468,0.0936,0.0936,0.04700854700854701
climate_only_baseline,1,6,Denver,hot_arid,5000,519,0.1038,0.1038,0.21772639691714837
climate_only_baseline,1,7,Salt Lake City,hot_arid,5000,462,0.0924,0.0924,0.16883116883116883
climate_only_baseline,1,8,Fresno,hot_arid,5000,471,0.0942,0.0942,0.012738853503184714
climate_only_baseline,1,22,Portland,mild_cool,5000,500,0.1,0.1,0.0
climate_only_baseline,1,27,Chicago,mild_cool,5000,480,0.096,0.096,0.0020833333333333333
climate_only_baseline,1,28,Minneapolis,mild_cool,5000,474,0.0948,0.0948,0.5337552742616034
climate_only_baseline,2,1,Phoenix,hot_arid,5000,508,0.1016,0.1016,0.021653543307086614
climate_only_baseline,2,10,Reno,hot_arid,5000,498,0.0996,0.0996,0.006024096385542169
climate_only_baseline,2,11,Houston,hot_humid,5000,505,0.101,0.101,0.0891089108910891
climate_only_baseline,2,12,Columbia,hot_humid,5000,517,0.1034,0.1034,0.15667311411992263
climate_only_baseline,2,17,Jacksonville,hot_humid,5000,531,0.1062,0.1062,0.05649717514124294
climate_only_baseline,2,21,Seattle,mild_cool,5000,509,0.1018,0.1018,0.07858546168958742
climate_only_baseline,3,3,Las Vegas,hot_arid,5000,507,0.1014,0.1014,0.15384615384615385
climate_only_baseline,3,14,New Orleans,hot_humid,5000,525,0.105,0.105,0.2704761904761905
climate_only_baseline,3,16,Miami,hot_humid,5000,497,0.0994,0.0994,0.0
climate_only_baseline,3,19,Charlotte,hot_humid,5000,474,0.0948,0.0948,0.07383966244725738
climate_only_baseline,3,23,San Francisco,mild_cool,5000,515,0.103,0.103,0.021359223300970873
climate_only_baseline,3,30,Boston,mild_cool,5000,523,0.1046,0.1046,0.017208413001912046
climate_only_baseline,4,4,Albuquerque,hot_arid,5000,482,0.0964,0.0964,0.14107883817427386
climate_only_baseline,4,5,El Paso,hot_arid,5000,535,0.107,0.107,0.38317757009345793
climate_only_baseline,4,20,Nashville,hot_humid,5000,499,0.0998,0.0998,0.06412825651302605
climate_only_baseline,4,25,Los Angeles,mild_cool,5000,503,0.1006,0.1006,0.3538767395626243
climate_only_baseline,4,26,San Diego,mild_cool,5000,478,0.0956,0.0956,0.03765690376569038
