timestamp_utc,phase,outer_fold_index,completed_inner_fits,completed_candidates,estimated_total_inner_fits,current_inner_cv_split_count,elapsed_wall_time_seconds,average_seconds_per_completed_fit,eta_seconds,current_params_json,note
2026-04-13T02:23:10.010001+00:00,startup,,0,0,60,,0.0027799606323242188,,,,startup
2026-04-13T02:23:10.043016+00:00,data_load,,0,0,60,,0.03579425811767578,,,,sampled_city_preload_started
2026-04-13T02:24:00.752588+00:00,data_load,0,0,0,60,3,50.74536657333374,,,,outer_fold_started
2026-04-13T02:24:01.236656+00:00,preprocess,0,0,0,60,3,51.22943472862244,,,,preprocess_complete
2026-04-13T02:24:01.303835+00:00,tuning,0,0,0,60,3,51.296613693237305,,,,grid_search_started
2026-04-13T02:24:10.252883+00:00,tuning,0,1,0,60,3,60.24566149711609,60.24566149711609,3554.4940283298492,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",inner_fit_completed
2026-04-13T02:24:16.412957+00:00,tuning,0,2,0,60,3,66.40573596954346,33.20286798477173,1925.7663431167603,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",inner_fit_completed
2026-04-13T02:24:22.879522+00:00,tuning,0,3,1,60,3,72.87230062484741,24.29076687494914,1384.5737118721008,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",inner_fit_completed
2026-04-13T02:24:29.663093+00:00,tuning,0,4,1,60,3,79.65587186813354,19.913967967033386,1115.1822061538696,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",inner_fit_completed
2026-04-13T02:24:37.507186+00:00,tuning,0,5,1,60,3,87.49996447563171,17.499992895126343,962.4996092319489,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",inner_fit_completed
2026-04-13T02:24:45.092976+00:00,tuning,0,6,2,60,3,95.08575487136841,15.847625811894735,855.7717938423157,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",inner_fit_completed
2026-04-13T02:24:50.259161+00:00,tuning,0,7,2,60,3,100.25194001197815,14.32170571599688,759.0504029478346,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",inner_fit_completed
2026-04-13T02:24:55.372663+00:00,tuning,0,8,2,60,3,105.36544156074524,13.170680195093155,684.875370144844,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",inner_fit_completed
2026-04-13T02:25:00.725192+00:00,tuning,0,9,3,60,3,110.71797013282776,12.301996681425306,627.4018307526907,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",inner_fit_completed
