model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
logistic_saga,outer_fold,0,0,0.03005584048027608,0.042666666666666665
logistic_saga,outer_fold,0,1,0.054463977430510485,0.057
logistic_saga,outer_fold,0,2,0.06760326528086809,0.06533333333333333
logistic_saga,outer_fold,0,3,0.07724224908312013,0.07766666666666666
logistic_saga,outer_fold,0,4,0.08667896930204252,0.08266666666666667
logistic_saga,outer_fold,0,5,0.09621708693836244,0.10066666666666667
logistic_saga,outer_fold,0,6,0.10648051381024812,0.085
logistic_saga,outer_fold,0,7,0.11727275209119221,0.12033333333333333
logistic_saga,outer_fold,0,8,0.1308068344464942,0.155
logistic_saga,outer_fold,0,9,0.17748992295361996,0.21366666666666667
logistic_saga,outer_fold,1,0,0.03525144491224199,0.013333333333333334
logistic_saga,outer_fold,1,1,0.047610803728385706,0.044
logistic_saga,outer_fold,1,2,0.0540960744010578,0.069
logistic_saga,outer_fold,1,3,0.059805715054400445,0.07266666666666667
logistic_saga,outer_fold,1,4,0.066065437332476,0.083
logistic_saga,outer_fold,1,5,0.07317278419189453,0.08866666666666667
logistic_saga,outer_fold,1,6,0.08205140569944984,0.093
logistic_saga,outer_fold,1,7,0.09229118048582652,0.11466666666666667
logistic_saga,outer_fold,1,8,0.1074856690605363,0.156
logistic_saga,outer_fold,1,9,0.1475410587875288,0.26566666666666666
logistic_saga,outer_fold,2,0,0.030108792059130883,0.028666666666666667
logistic_saga,outer_fold,2,1,0.05228899847598659,0.07366666666666667
logistic_saga,outer_fold,2,2,0.06879575518942413,0.07466666666666667
logistic_saga,outer_fold,2,3,0.07947265541877528,0.07033333333333333
logistic_saga,outer_fold,2,4,0.08965656834340571,0.088
logistic_saga,outer_fold,2,5,0.10097292833435201,0.08833333333333333
logistic_saga,outer_fold,2,6,0.11508161876580444,0.109
logistic_saga,outer_fold,2,7,0.1346010238859674,0.132
logistic_saga,outer_fold,2,8,0.16484351635066508,0.146
logistic_saga,outer_fold,2,9,0.24422996901633523,0.18933333333333333
logistic_saga,outer_fold,3,0,0.017725741668399516,0.027
logistic_saga,outer_fold,3,1,0.036206366395245666,0.08266666666666667
logistic_saga,outer_fold,3,2,0.05714767006680463,0.10033333333333333
logistic_saga,outer_fold,3,3,0.07870296404036535,0.09266666666666666
logistic_saga,outer_fold,3,4,0.10124511968234257,0.08633333333333333
logistic_saga,outer_fold,3,5,0.12334510760248493,0.10233333333333333
logistic_saga,outer_fold,3,6,0.14266442033355714,0.10233333333333333
logistic_saga,outer_fold,3,7,0.15992929719967836,0.12133333333333333
logistic_saga,outer_fold,3,8,0.19371508259014952,0.13433333333333333
logistic_saga,outer_fold,3,9,0.2822713187230566,0.15066666666666667
logistic_saga,outer_fold,4,0,0.043082364993304895,0.007
logistic_saga,outer_fold,4,1,0.06382320153933432,0.030666666666666665
logistic_saga,outer_fold,4,2,0.07768709647432057,0.07633333333333334
logistic_saga,outer_fold,4,3,0.09147837431908885,0.10733333333333334
logistic_saga,outer_fold,4,4,0.10458094326024245,0.086
logistic_saga,outer_fold,4,5,0.11835960634141715,0.094
logistic_saga,outer_fold,4,6,0.13247206170844678,0.12166666666666667
logistic_saga,outer_fold,4,7,0.14411582714231902,0.15733333333333333
logistic_saga,outer_fold,4,8,0.1648905755304737,0.14366666666666666
logistic_saga,outer_fold,4,9,0.2297033296359031,0.176
logistic_saga,overall,overall,0,0.028919980009689997,0.0342
logistic_saga,overall,overall,1,0.05040104869946862,0.057466666666666666
logistic_saga,overall,overall,2,0.06324612937442047,0.068
logistic_saga,overall,overall,3,0.07461604918391408,0.07833333333333334
logistic_saga,overall,overall,4,0.08623623145720705,0.09173333333333333
logistic_saga,overall,overall,5,0.09870575922924665,0.10046666666666666
logistic_saga,overall,overall,6,0.11341041324276123,0.10933333333333334
logistic_saga,overall,overall,7,0.13133643023090819,0.1374
logistic_saga,overall,overall,8,0.15505933474063568,0.15313333333333334
logistic_saga,overall,overall,9,0.22864487994320953,0.16993333333333333
