model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
logistic_saga,outer_fold,1,0,0.03525144491224199,0.013333333333333334
logistic_saga,outer_fold,1,1,0.047610803728385706,0.044
logistic_saga,outer_fold,1,2,0.0540960744010578,0.069
logistic_saga,outer_fold,1,3,0.059805715054400445,0.07266666666666667
logistic_saga,outer_fold,1,4,0.066065437332476,0.083
logistic_saga,outer_fold,1,5,0.07317278419189453,0.08866666666666667
logistic_saga,outer_fold,1,6,0.08205140569944984,0.093
logistic_saga,outer_fold,1,7,0.09229118048582652,0.11466666666666667
logistic_saga,outer_fold,1,8,0.1074856690605363,0.156
logistic_saga,outer_fold,1,9,0.1475410587875288,0.26566666666666666
