timestamp_utc,phase,outer_fold_index,completed_inner_fits,completed_candidates,estimated_total_inner_fits,current_inner_cv_split_count,elapsed_wall_time_seconds,average_seconds_per_completed_fit,eta_seconds,current_params_json,note
2026-04-08T03:58:25.037413+00:00,startup,,0,0,400,,0.0009853839874267578,,,,startup
2026-04-08T03:58:25.062775+00:00,data_load,,0,0,400,,0.02633523941040039,,,,sampled_city_preload_started
2026-04-08T03:58:45.183875+00:00,data_load,0,0,0,400,4,20.147441148757935,,,,outer_fold_started
2026-04-08T03:58:45.456864+00:00,preprocess,0,0,0,400,4,20.42043161392212,,,,preprocess_complete
2026-04-08T03:58:45.480077+00:00,tuning,0,0,0,400,4,20.443643808364868,,,,grid_search_started
2026-04-08T03:58:54.768836+00:00,tuning,0,1,0,400,4,29.732405185699463,29.732405185699463,11863.229669094086,"{""model__C"": 0.01, ""model__l1_ratio"": 0.0}",inner_fit_completed
2026-04-08T03:59:00.304165+00:00,tuning,0,2,0,400,4,35.26773643493652,17.63386821746826,7018.279550552368,"{""model__C"": 0.01, ""model__l1_ratio"": 0.0}",inner_fit_completed
2026-04-08T03:59:07.334467+00:00,tuning,0,3,0,400,4,42.298036098480225,14.099345366160074,5597.440110365549,"{""model__C"": 0.01, ""model__l1_ratio"": 0.0}",inner_fit_completed
2026-04-08T03:59:14.519028+00:00,tuning,0,4,1,400,4,49.48259234428406,12.370648086071014,4898.776642084122,"{""model__C"": 0.01, ""model__l1_ratio"": 0.0}",inner_fit_completed
2026-04-08T03:59:29.978947+00:00,tuning,0,5,1,400,4,64.94251894950867,12.988503789901733,5130.458997011185,"{""model__C"": 0.1, ""model__l1_ratio"": 0.0}",inner_fit_completed
2026-04-08T03:59:41.910408+00:00,tuning,0,6,1,400,4,76.87397789955139,12.812329649925232,5048.057882070541,"{""model__C"": 0.1, ""model__l1_ratio"": 0.0}",inner_fit_completed
2026-04-08T03:59:59.271162+00:00,tuning,0,7,1,400,4,94.23472666740417,13.462103809629168,5290.606797184263,"{""model__C"": 0.1, ""model__l1_ratio"": 0.0}",inner_fit_completed
2026-04-08T04:00:14.135387+00:00,tuning,0,8,2,400,4,109.09895086288452,13.637368857860565,5345.848592281342,"{""model__C"": 0.1, ""model__l1_ratio"": 0.0}",inner_fit_completed
2026-04-08T04:00:14.596874+00:00,tuning,0,9,2,400,4,109.56043839454651,12.173382043838501,4759.792379140854,"{""model__C"": 1.0, ""model__l1_ratio"": 0.0}",inner_fit_completed
2026-04-08T04:00:14.904647+00:00,tuning,0,10,2,400,4,109.86821389198303,10.986821389198303,4284.860341787338,"{""model__C"": 1.0, ""model__l1_ratio"": 0.0}",inner_fit_completed
2026-04-08T04:00:15.348645+00:00,tuning,0,11,2,400,4,110.3122091293335,10.028382648121227,3901.0408501191573,"{""model__C"": 1.0, ""model__l1_ratio"": 0.0}",inner_fit_completed
2026-04-08T04:00:15.672850+00:00,tuning,0,12,3,400,4,110.6364176273346,9.21970146894455,3577.2441699504852,"{""model__C"": 1.0, ""model__l1_ratio"": 0.0}",inner_fit_completed
