model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
logistic_saga,outer_fold,0,0,0.05000690702547025,0.019666666666666666
logistic_saga,outer_fold,0,1,0.05896085382899265,0.047
logistic_saga,outer_fold,0,2,0.06794815432144995,0.07033333333333333
logistic_saga,outer_fold,0,3,0.07842945218150334,0.09533333333333334
logistic_saga,outer_fold,0,4,0.08828530678857698,0.08933333333333333
logistic_saga,outer_fold,0,5,0.0974532367473894,0.088
logistic_saga,outer_fold,0,6,0.10647218165340204,0.10666666666666667
logistic_saga,outer_fold,0,7,0.11563908588340091,0.133
logistic_saga,outer_fold,0,8,0.13244938037517826,0.13366666666666666
logistic_saga,outer_fold,0,9,0.17501989277102128,0.217
logistic_saga,overall,overall,0,0.05000690702547023,0.019666666666666666
logistic_saga,overall,overall,1,0.05896085382899261,0.047
logistic_saga,overall,overall,2,0.06794815432144997,0.07033333333333333
logistic_saga,overall,overall,3,0.07842945218150325,0.09533333333333334
logistic_saga,overall,overall,4,0.08828530678857682,0.08933333333333333
logistic_saga,overall,overall,5,0.0974532367473894,0.088
logistic_saga,overall,overall,6,0.10647218165340198,0.10666666666666667
logistic_saga,overall,overall,7,0.11563908588340072,0.133
logistic_saga,overall,overall,8,0.13244938037517834,0.13366666666666666
logistic_saga,overall,overall,9,0.1750198927710216,0.217
