model_name,outer_fold,city_id,city_name,climate_group,row_count,positive_count,prevalence,pr_auc,recall_at_top_10pct
logistic_saga,0,2,Tucson,hot_arid,5000,521,0.1042,0.11512042544999489,0.05182341650671785
logistic_saga,0,9,Bakersfield,hot_arid,5000,478,0.0956,0.0950429587446229,0.11506276150627615
logistic_saga,0,13,Richmond,hot_humid,5000,479,0.0958,0.2563464683028556,0.302713987473904
logistic_saga,0,15,Tampa,hot_humid,5000,470,0.094,0.2315343183403634,0.27872340425531916
logistic_saga,0,18,Atlanta,hot_humid,5000,509,0.1018,0.26765067570814843,0.29469548133595286
logistic_saga,0,24,San Jose,mild_cool,5000,468,0.0936,0.1762912498973401,0.19658119658119658
logistic_saga,1,6,Denver,hot_arid,5000,519,0.1038,0.1893792818990377,0.21965317919075145
logistic_saga,1,7,Salt Lake City,hot_arid,5000,462,0.0924,0.1780759143608849,0.19480519480519481
logistic_saga,1,8,Fresno,hot_arid,5000,471,0.0942,0.16315971833028522,0.18895966029723993
logistic_saga,1,22,Portland,mild_cool,5000,500,0.1,0.3247030796161221,0.376
logistic_saga,1,27,Chicago,mild_cool,5000,480,0.096,0.27871846095010794,0.33125
logistic_saga,1,28,Minneapolis,mild_cool,5000,474,0.0948,0.11607180847579446,0.1518987341772152
logistic_saga,2,1,Phoenix,hot_arid,5000,508,0.1016,0.13106580789077085,0.1515748031496063
logistic_saga,2,10,Reno,hot_arid,5000,498,0.0996,0.1813595784098007,0.22088353413654618
logistic_saga,2,11,Houston,hot_humid,5000,505,0.101,0.12307182722558524,0.1405940594059406
logistic_saga,2,12,Columbia,hot_humid,5000,517,0.1034,0.12762593943841105,0.13539651837524178
logistic_saga,2,17,Jacksonville,hot_humid,5000,531,0.1062,0.24989998793585105,0.2806026365348399
logistic_saga,2,21,Seattle,mild_cool,5000,509,0.1018,0.24042821897900668,0.3025540275049116
logistic_saga,3,3,Las Vegas,hot_arid,5000,507,0.1014,0.09224457966996755,0.047337278106508875
logistic_saga,3,14,New Orleans,hot_humid,5000,525,0.105,0.15592681439136144,0.13904761904761906
logistic_saga,3,16,Miami,hot_humid,5000,497,0.0994,0.1507142501668366,0.17706237424547283
logistic_saga,3,19,Charlotte,hot_humid,5000,474,0.0948,0.1416234897787395,0.16455696202531644
logistic_saga,3,23,San Francisco,mild_cool,5000,515,0.103,0.1297519687537777,0.1087378640776699
logistic_saga,3,30,Boston,mild_cool,5000,523,0.1046,0.23379857344663638,0.2734225621414914
logistic_saga,4,4,Albuquerque,hot_arid,5000,482,0.0964,0.13784362132486833,0.0995850622406639
logistic_saga,4,5,El Paso,hot_arid,5000,535,0.107,0.09848040486557622,0.052336448598130844
logistic_saga,4,20,Nashville,hot_humid,5000,499,0.0998,0.44542381558315175,0.5130260521042084
logistic_saga,4,25,Los Angeles,mild_cool,5000,503,0.1006,0.12461169285287188,0.12326043737574553
logistic_saga,4,26,San Diego,mild_cool,5000,478,0.0956,0.12749096416624994,0.14853556485355648
logistic_saga,4,29,Detroit,mild_cool,5000,512,0.1024,0.17561622783888148,0.20703125
