model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
logistic_saga,outer_fold,0,0,0.03525610990689791,0.028666666666666667
logistic_saga,outer_fold,0,1,0.05449184040892075,0.034666666666666665
logistic_saga,outer_fold,0,2,0.06465441243199258,0.06866666666666667
logistic_saga,outer_fold,0,3,0.07362647669629567,0.07466666666666667
logistic_saga,outer_fold,0,4,0.08304919650497841,0.074
logistic_saga,outer_fold,0,5,0.09361987883490679,0.089
logistic_saga,outer_fold,0,6,0.10599054948534316,0.09233333333333334
logistic_saga,outer_fold,0,7,0.11828472397422729,0.16133333333333333
logistic_saga,outer_fold,0,8,0.13560432608039164,0.14
logistic_saga,outer_fold,0,9,0.1849078860386916,0.21166666666666667
logistic_saga,outer_fold,1,0,0.030914070864490543,0.019
logistic_saga,outer_fold,1,1,0.042730030343666535,0.042
logistic_saga,outer_fold,1,2,0.04914795134791006,0.06233333333333333
logistic_saga,outer_fold,1,3,0.055118922578630054,0.07733333333333334
logistic_saga,outer_fold,1,4,0.061391917301652256,0.087
logistic_saga,outer_fold,1,5,0.06894033949745816,0.082
logistic_saga,outer_fold,1,6,0.07807345796196787,0.08366666666666667
logistic_saga,outer_fold,1,7,0.08848797326757962,0.118
logistic_saga,outer_fold,1,8,0.10441759798923918,0.15566666666666668
logistic_saga,outer_fold,1,9,0.14400075436054435,0.24166666666666667
logistic_saga,overall,overall,0,0.03255318917131286,0.0255
logistic_saga,overall,overall,1,0.046239873639834825,0.04566666666666667
logistic_saga,overall,overall,2,0.05497902314570146,0.062
logistic_saga,overall,overall,3,0.0627976189096773,0.07616666666666666
logistic_saga,overall,overall,4,0.07126360292994442,0.08066666666666666
logistic_saga,overall,overall,5,0.08051733435134324,0.08133333333333333
logistic_saga,overall,overall,6,0.09123755899424843,0.10183333333333333
logistic_saga,overall,overall,7,0.10527882210097968,0.11933333333333333
logistic_saga,overall,overall,8,0.1231313378923169,0.16066666666666668
logistic_saga,overall,overall,9,0.16835584680253235,0.21866666666666668
