model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
logistic_saga,outer_fold,0,0,0.03526138643581245,0.028666666666666667
logistic_saga,outer_fold,0,1,0.05449324285594168,0.034666666666666665
logistic_saga,outer_fold,0,2,0.06465511687135597,0.06866666666666667
logistic_saga,outer_fold,0,3,0.07362676082681262,0.07466666666666667
logistic_saga,outer_fold,0,4,0.08304922250733589,0.074
logistic_saga,outer_fold,0,5,0.09361978868256833,0.089
logistic_saga,outer_fold,0,6,0.10599021206797014,0.09233333333333334
logistic_saga,outer_fold,0,7,0.11828357719104332,0.16133333333333333
logistic_saga,outer_fold,0,8,0.13560580317319726,0.14
logistic_saga,outer_fold,0,9,0.18491312978272822,0.21166666666666667
logistic_saga,overall,overall,0,0.035261386435812454,0.028666666666666667
logistic_saga,overall,overall,1,0.05449324285594151,0.034666666666666665
logistic_saga,overall,overall,2,0.06465511687135596,0.06866666666666667
logistic_saga,overall,overall,3,0.07362676082681265,0.07466666666666667
logistic_saga,overall,overall,4,0.08304922250733589,0.074
logistic_saga,overall,overall,5,0.09361978868256822,0.089
logistic_saga,overall,overall,6,0.1059902120679702,0.09233333333333334
logistic_saga,overall,overall,7,0.11828357719104325,0.16133333333333333
logistic_saga,overall,overall,8,0.1356058031731973,0.14
logistic_saga,overall,overall,9,0.18491312978272847,0.21166666666666667
