model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
logistic_saga,outer_fold,0,0,0.04846097756445232,0.019333333333333334
logistic_saga,outer_fold,0,1,0.05811113872138346,0.04666666666666667
logistic_saga,outer_fold,0,2,0.06736391914914631,0.071
logistic_saga,outer_fold,0,3,0.07724274568468102,0.10033333333333333
logistic_saga,outer_fold,0,4,0.08740897884643446,0.08466666666666667
logistic_saga,outer_fold,0,5,0.09755516167430035,0.071
logistic_saga,outer_fold,0,6,0.10731429492063042,0.11466666666666667
logistic_saga,outer_fold,0,7,0.1172660039732307,0.138
logistic_saga,outer_fold,0,8,0.13544873193252094,0.12133333333333333
logistic_saga,outer_fold,0,9,0.17649845501573733,0.208
logistic_saga,overall,overall,0,0.04846097756445227,0.019333333333333334
logistic_saga,overall,overall,1,0.05811113872138338,0.04666666666666667
logistic_saga,overall,overall,2,0.06736391914914629,0.071
logistic_saga,overall,overall,3,0.07724274568468104,0.10033333333333333
logistic_saga,overall,overall,4,0.08740897884643442,0.08466666666666667
logistic_saga,overall,overall,5,0.09755516167430024,0.071
logistic_saga,overall,overall,6,0.10731429492063052,0.11466666666666667
logistic_saga,overall,overall,7,0.11726600397323032,0.138
logistic_saga,overall,overall,8,0.13544873193252094,0.12133333333333333
logistic_saga,overall,overall,9,0.17649845501573722,0.208
