model,city,class_0_precision,class_0_recall,class_0_f1,class_0_support,class_1_precision,class_1_recall,class_1_f1,class_1_support,accuracy,total_support,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,model_label,positive_prevalence
logistic,Albuquerque,0.9,1.0,0.95,360924,0.0,0.0,0.0,40103,0.9,401027,0.45,0.5,0.47,0.81,0.9,0.85,Logistic,0.10000074807930638
logistic,Atlanta,0.91,0.99,0.95,1912059,0.48,0.09,0.15,212451,0.9,2124510,0.69,0.54,0.55,0.86,0.9,0.87,Logistic,0.1
logistic,Bakersfield,0.91,0.99,0.95,103401,0.53,0.14,0.22,11489,0.9,114890,0.72,0.56,0.58,0.87,0.9,0.87,Logistic,0.1
logistic,Boston,0.9,1.0,0.95,1299775,0.14,0.0,0.0,144421,0.9,1444196,0.52,0.5,0.47,0.82,0.9,0.85,Logistic,0.1000009693975056
logistic,Charlotte,0.9,1.0,0.95,512188,0.0,0.0,0.0,56911,0.9,569099,0.45,0.5,0.47,0.81,0.9,0.85,Logistic,0.100001932879868
logistic,Chicago,0.91,0.98,0.95,1815197,0.49,0.16,0.24,201692,0.9,2016889,0.7,0.57,0.59,0.87,0.9,0.88,Logistic,0.10000153702062929
logistic,Columbia,0.9,1.0,0.95,285087,0.45,0.03,0.06,31688,0.9,316775,0.68,0.51,0.5,0.86,0.9,0.86,Logistic,0.10003314655512588
logistic,Denver,0.9,1.0,0.95,502035,0.59,0.01,0.02,55783,0.9,557818,0.74,0.51,0.49,0.87,0.9,0.86,Logistic,0.1000021512392931
logistic,Detroit,0.9,1.0,0.95,999768,0.0,0.0,0.0,111087,0.9,1110855,0.45,0.5,0.47,0.81,0.9,0.85,Logistic,0.10000135031124674
logistic,El Paso,0.9,1.0,0.95,199403,0.5,0.0,0.0,22156,0.9,221559,0.7,0.5,0.47,0.86,0.9,0.85,Logistic,0.10000045134704526
logistic,Fresno,0.9,1.0,0.95,123958,0.84,0.0,0.0,13774,0.9,137732,0.87,0.5,0.47,0.89,0.9,0.85,Logistic,0.10000580838149449
logistic,Houston,0.9,1.0,0.95,1364759,0.0,0.0,0.0,151640,0.9,1516399,0.45,0.5,0.47,0.81,0.9,0.85,Logistic,0.10000006594570426
logistic,Jacksonville,0.91,1.0,0.95,449426,0.62,0.07,0.12,49937,0.9,499363,0.76,0.53,0.53,0.88,0.9,0.87,Logistic,0.1000014017858752
logistic,Las Vegas,0.93,0.98,0.96,464041,0.7,0.36,0.47,51560,0.92,515601,0.81,0.67,0.72,0.91,0.92,0.91,Logistic,0.09999980605157864
