city,class_1_precision_logistic,class_1_precision_rf,class_1_recall_logistic,class_1_recall_rf,class_1_f1_logistic,class_1_f1_rf,accuracy_logistic,accuracy_rf,macro_f1_logistic,macro_f1_rf,weighted_f1_logistic,weighted_f1_rf,partner_total_support,partner_class_1_support,partner_positive_prevalence,class_1_precision_delta_rf_minus_logistic,class_1_recall_delta_rf_minus_logistic,class_1_f1_delta_rf_minus_logistic,accuracy_delta_rf_minus_logistic,macro_f1_delta_rf_minus_logistic,weighted_f1_delta_rf_minus_logistic
El Paso,0.5,0.8,0.0,0.59,0.0,0.68,0.9,0.94,0.47,0.82,0.85,0.94,221559,22156,0.10000045134704526,0.30000000000000004,0.59,0.68,0.039999999999999925,0.35,0.08999999999999997
Albuquerque,0.0,0.76,0.0,0.49,0.0,0.6,0.9,0.93,0.47,0.78,0.85,0.93,401027,40103,0.10000074807930638,0.76,0.49,0.6,0.030000000000000027,0.31000000000000005,0.08000000000000007
San Jose,0.32,0.8,0.02,0.52,0.04,0.63,0.9,0.94,0.49,0.8,0.86,0.93,245289,24529,0.10000040768236651,0.48000000000000004,0.5,0.59,0.039999999999999925,0.31000000000000005,0.07000000000000006
Fresno,0.84,0.8,0.0,0.39,0.0,0.53,0.9,0.93,0.47,0.74,0.85,0.92,137732,13774,0.10000580838149449,-0.039999999999999925,0.39,0.53,0.030000000000000027,0.27,0.07000000000000006
Salt Lake City,0.13,0.79,0.0,0.38,0.0,0.51,0.9,0.93,0.47,0.74,0.85,0.92,259068,25907,0.10000077199808545,0.66,0.38,0.51,0.030000000000000027,0.27,0.07000000000000006
Phoenix,0.34,0.81,0.01,0.36,0.02,0.5,0.9,0.93,0.48,0.73,0.85,0.92,959832,95985,0.10000187532818243,0.47000000000000003,0.35,0.48,0.030000000000000027,0.25,0.07000000000000006
Denver,0.59,0.78,0.01,0.35,0.02,0.48,0.9,0.93,0.49,0.72,0.86,0.91,557818,55783,0.1000021512392931,0.19000000000000006,0.33999999999999997,0.45999999999999996,0.030000000000000027,0.22999999999999998,0.050000000000000044
San Diego,0.33,0.77,0.04,0.41,0.08,0.53,0.9,0.93,0.51,0.75,0.86,0.92,584604,58461,0.10000102633577601,0.44,0.37,0.45,0.030000000000000027,0.24,0.06000000000000005
Bakersfield,0.53,0.86,0.14,0.52,0.22,0.65,0.9,0.94,0.58,0.81,0.87,0.94,114890,11489,0.1,0.32999999999999996,0.38,0.43000000000000005,0.039999999999999925,0.2300000000000001,0.06999999999999995
Los Angeles,0.45,0.75,0.15,0.54,0.23,0.63,0.9,0.94,0.59,0.8,0.87,0.93,1420819,142082,0.10000007038194168,0.3,0.39,0.4,0.039999999999999925,0.21000000000000008,0.06000000000000005
Reno,0.66,0.87,0.33,0.77,0.44,0.82,0.92,0.97,0.7,0.9,0.9,0.96,142749,14275,0.10000070053030144,0.20999999999999996,0.44,0.37999999999999995,0.04999999999999993,0.20000000000000007,0.05999999999999994
Tucson,0.58,0.76,0.15,0.5,0.24,0.61,0.9,0.93,0.6,0.79,0.88,0.93,533972,53397,0.09999962544852539,0.18000000000000005,0.35,0.37,0.030000000000000027,0.19000000000000006,0.050000000000000044
Detroit,0.0,0.74,0.0,0.24,0.0,0.36,0.9,0.92,0.47,0.66,0.85,0.9,1110855,111087,0.10000135031124674,0.74,0.24,0.36,0.020000000000000018,0.19000000000000006,0.050000000000000044
Seattle,0.48,0.73,0.02,0.26,0.04,0.38,0.9,0.92,0.49,0.67,0.86,0.9,849563,84957,0.10000082395302055,0.25,0.24000000000000002,0.34,0.020000000000000018,0.18000000000000005,0.040000000000000036
Portland,0.35,0.75,0.08,0.32,0.12,0.45,0.89,0.92,0.53,0.7,0.86,0.91,448835,44885,0.10000334198536211,0.4,0.24,0.33,0.030000000000000027,0.16999999999999993,0.050000000000000044
Minneapolis,0.25,0.71,0.0,0.21,0.0,0.32,0.9,0.91,0.47,0.64,0.85,0.89,883849,88386,0.10000124455647967,0.45999999999999996,0.21,0.32,0.010000000000000009,0.17000000000000004,0.040000000000000036
New Orleans,0.33,0.64,0.0,0.21,0.0,0.31,0.9,0.91,0.47,0.63,0.85,0.89,210019,21002,0.10000047614739618,0.31,0.21,0.31,0.010000000000000009,0.16000000000000003,0.040000000000000036
San Francisco,0.59,0.71,0.07,0.31,0.12,0.43,0.9,0.92,0.53,0.69,0.87,0.9,439883,43988,0.09999931800046831,0.12,0.24,0.31,0.020000000000000018,0.15999999999999992,0.030000000000000027
Chicago,0.49,0.75,0.16,0.42,0.24,0.54,0.9,0.93,0.59,0.75,0.88,0.92,2016889,201692,0.10000153702062929,0.26,0.26,0.30000000000000004,0.030000000000000027,0.16000000000000003,0.040000000000000036
Las Vegas,0.7,0.82,0.36,0.65,0.47,0.73,0.92,0.95,0.72,0.85,0.91,0.95,515601,51560,0.09999980605157864,0.12,0.29000000000000004,0.26,0.029999999999999916,0.13,0.039999999999999925
Boston,0.14,0.66,0.0,0.15,0.0,0.24,0.9,0.91,0.47,0.59,0.85,0.88,1444196,144421,0.1000009693975056,0.52,0.15,0.24,0.010000000000000009,0.12,0.030000000000000027
Richmond,0.52,0.7,0.14,0.33,0.22,0.45,0.9,0.92,0.58,0.7,0.87,0.91,444554,44456,0.100001349667307,0.17999999999999994,0.19,0.23,0.020000000000000018,0.12,0.040000000000000036
Columbia,0.45,0.65,0.03,0.18,0.06,0.28,0.9,0.91,0.5,0.62,0.86,0.88,316775,31688,0.10003314655512588,0.2,0.15,0.22000000000000003,0.010000000000000009,0.12,0.020000000000000018
