city,partner_total_support,partner_class_1_support,partner_positive_prevalence,city_key,city_id,city_name,climate_group,canonical_row_count,canonical_hotspot_positive_count,canonical_hotspot_prevalence,support_fraction_of_canonical,positive_support_fraction_of_canonical
Phoenix,959832,95985,0.10000187532818243,phoenix,1,Phoenix,hot_arid,3199440,319949,0.1000015627734853,0.3,0.30000093764943786
Tucson,533972,53397,0.09999962544852539,tucson,2,Tucson,hot_arid,1779906,177991,0.1000002247309689,0.30000011236548446,0.29999831452152076
Las Vegas,515601,51560,0.09999980605157864,las vegas,3,Las Vegas,hot_arid,1718669,171867,0.1000000581845602,0.3000001745536808,0.2999994181547359
Albuquerque,401027,40103,0.10000074807930638,albuquerque,4,Albuquerque,hot_arid,1336755,133676,0.1000003740401195,0.30000037404011953,0.300001496154882
El Paso,221559,22156,0.10000045134704526,el paso,5,El Paso,hot_arid,738527,73853,0.1000004062139908,0.3000012186419725,0.30000135404113576
Denver,557818,55783,0.1000021512392931,denver,6,Denver,hot_arid,1859393,185943,0.1000019898967028,0.300000053780992,0.30000053779921804
Salt Lake City,259068,25907,0.10000077199808545,salt lake city,7,Salt Lake City,hot_arid,863557,86356,0.1000003474003453,0.30000104220103596,0.3000023159942563
Fresno,137732,13774,0.10000580838149449,fresno,8,Fresno,hot_arid,459104,45912,0.1000034850491392,0.30000174252456957,0.3000087123192194
Bakersfield,114890,11489,0.1,bakersfield,9,Bakersfield,hot_arid,382964,38297,0.1000015667268986,0.30000208896919817,0.29999738882941224
Reno,142749,14275,0.10000070053030144,reno,10,Reno,hot_arid,475828,47583,0.1000004203199475,0.30000126095984264,0.3000021015909043
Houston,1516399,151640,0.10000006594570426,houston,11,Houston,hot_humid,5054661,505468,0.1000003758906878,0.3000001384860429,0.29999920865415813
Columbia,316775,31688,0.10003314655512588,columbia,12,Columbia,hot_humid,1055916,105626,0.1000325783490353,0.300000189409006,0.3000018934731979
Richmond,444554,44456,0.100001349667307,richmond,13,Richmond,hot_humid,1481846,148185,0.1000002699335828,0.3000001349667914,0.3000033741606775
New Orleans,210019,21002,0.10000047614739618,new orleans,14,New Orleans,hot_humid,700063,70008,0.1000024283528768,0.3000001428442869,0.2999942863672723
Tampa,854136,85414,0.10000046830949638,tampa,15,Tampa,hot_humid,2847118,284712,0.1000000702464738,0.3000002107394214,0.30000140492848915
Miami,1090521,109053,0.1000008252935982,miami,16,Miami,hot_humid,3635068,363510,0.1000008803136557,0.30000016505881044,0.3
Jacksonville,499363,49937,0.1000014017858752,jacksonville,17,Jacksonville,hot_humid,1664542,166458,0.100002282910254,0.30000024030634254,0.2999975969914333
Atlanta,2124510,212451,0.1,atlanta,18,Atlanta,hot_humid,7081699,708171,0.1000001553299568,0.3000000423627155,0.299999576373503
Charlotte,569099,56911,0.100001932879868,charlotte,19,Charlotte,hot_humid,1896996,189703,0.1000017923074165,0.300000105429848,0.3000005271397922
Nashville,504075,50408,0.10000099191588553,nashville,20,Nashville,hot_humid,1680248,168025,0.1000001190300479,0.30000035709014383,0.3000029757476566
Seattle,849563,84957,0.10000082395302055,seattle,21,Seattle,mild_cool,2831875,283189,0.1000005296843963,0.30000017656146544,0.3000010593631815
Portland,448835,44885,0.10000334198536211,portland,22,Portland,mild_cool,1496116,149618,0.1000042777431696,0.30000013367947403,0.29999732652488337
San Francisco,439883,43988,0.09999931800046831,san francisco,23,San Francisco,mild_cool,1466276,146628,0.1000002727999367,0.30000013639996836,0.29999727200807486
San Jose,245289,24529,0.10000040768236651,san jose,24,San Jose,mild_cool,817627,81764,0.1000015899670632,0.3000011007464284,0.2999975539357174
Los Angeles,1420819,142082,0.10000007038194168,los angeles,25,Los Angeles,mild_cool,4736063,473607,0.1000001478020879,0.300000021114584,0.29999978885447215
San Diego,584604,58461,0.10000102633577601,san diego,26,San Diego,mild_cool,1948679,194869,0.1000005644849664,0.3000001539504454,0.3000015394957638
Chicago,2016889,201692,0.10000153702062929,chicago,27,Chicago,mild_cool,6722963,672306,0.1000014428162106,0.3000000148743939,0.30000029748358636
Minneapolis,883849,88386,0.10000124455647967,minneapolis,28,Minneapolis,mild_cool,2946162,294619,0.1000009503890145,0.30000013576985923,0.30000101826426673
Detroit,1110855,111087,0.10000135031124674,detroit,29,Detroit,mild_cool,3702849,370291,0.1000016473801659,0.3000000810186967,0.2999991898263798
Boston,1444196,144421,0.1000009693975056,boston,30,Boston,mild_cool,4813984,481404,0.1000011632776511,0.30000016618252157,0.2999995845485289
