city,class_1_precision_logistic,class_1_precision_rf,class_1_recall_logistic,class_1_recall_rf,class_1_f1_logistic,class_1_f1_rf,accuracy_logistic,accuracy_rf,macro_f1_logistic,macro_f1_rf,weighted_f1_logistic,weighted_f1_rf,partner_total_support,partner_class_1_support,partner_positive_prevalence,class_1_precision_delta_rf_minus_logistic,class_1_recall_delta_rf_minus_logistic,class_1_f1_delta_rf_minus_logistic,accuracy_delta_rf_minus_logistic,macro_f1_delta_rf_minus_logistic,weighted_f1_delta_rf_minus_logistic,city_id,city_name,climate_group,pr_auc_logistic,pr_auc_rf,pr_auc_delta_rf_minus_logistic,recall_at_top_10pct_logistic,recall_at_top_10pct_rf,recall_delta_rf_minus_logistic
El Paso,0.5,0.8,0.0,0.59,0.0,0.68,0.9,0.94,0.47,0.82,0.85,0.94,221559,22156,0.10000045134704526,0.30000000000000004,0.59,0.68,0.039999999999999925,0.35,0.08999999999999997,5,El Paso,hot_arid,0.0906409794321659,0.0997411390221618,0.0091001595899959,0.048,0.044,-0.004
Albuquerque,0.0,0.76,0.0,0.49,0.0,0.6,0.9,0.93,0.47,0.78,0.85,0.93,401027,40103,0.10000074807930638,0.76,0.49,0.6,0.030000000000000027,0.31000000000000005,0.08000000000000007,4,Albuquerque,hot_arid,0.1288853245104117,0.0859469686799147,-0.042938355830497,0.078,0.084,0.006
San Jose,0.32,0.8,0.02,0.52,0.04,0.63,0.9,0.94,0.49,0.8,0.86,0.93,245289,24529,0.10000040768236651,0.48000000000000004,0.5,0.59,0.039999999999999925,0.31000000000000005,0.07000000000000006,24,San Jose,mild_cool,0.1714991135144317,0.0972358319441493,-0.0742632815702824,0.136,0.08,-0.056
Fresno,0.84,0.8,0.0,0.39,0.0,0.53,0.9,0.93,0.47,0.74,0.85,0.92,137732,13774,0.10000580838149449,-0.039999999999999925,0.39,0.53,0.030000000000000027,0.27,0.07000000000000006,8,Fresno,hot_arid,0.1618323168913163,0.2181615684936822,0.0563292516023659,0.192,0.284,0.0919999999999999
Salt Lake City,0.13,0.79,0.0,0.38,0.0,0.51,0.9,0.93,0.47,0.74,0.85,0.92,259068,25907,0.10000077199808545,0.66,0.38,0.51,0.030000000000000027,0.27,0.07000000000000006,7,Salt Lake City,hot_arid,0.1662992834233643,0.1220764403186102,-0.0442228431047541,0.176,0.12,-0.0559999999999999
Phoenix,0.34,0.81,0.01,0.36,0.02,0.5,0.9,0.93,0.48,0.73,0.85,0.92,959832,95985,0.10000187532818243,0.47000000000000003,0.35,0.48,0.030000000000000027,0.25,0.07000000000000006,1,Phoenix,hot_arid,0.1562348038114553,0.1409691823042949,-0.0152656215071604,0.156,0.182,0.0259999999999999
Denver,0.59,0.78,0.01,0.35,0.02,0.48,0.9,0.93,0.49,0.72,0.86,0.91,557818,55783,0.1000021512392931,0.19000000000000006,0.33999999999999997,0.45999999999999996,0.030000000000000027,0.22999999999999998,0.050000000000000044,6,Denver,hot_arid,0.1922903126003208,0.1508082663439688,-0.041482046256352,0.22,0.2,-0.0199999999999999
San Diego,0.33,0.77,0.04,0.41,0.08,0.53,0.9,0.93,0.51,0.75,0.86,0.92,584604,58461,0.10000102633577601,0.44,0.37,0.45,0.030000000000000027,0.24,0.06000000000000005,26,San Diego,mild_cool,0.1389723641527455,0.1527454943004643,0.0137731301477188,0.146,0.178,0.032
Bakersfield,0.53,0.86,0.14,0.52,0.22,0.65,0.9,0.94,0.58,0.81,0.87,0.94,114890,11489,0.1,0.32999999999999996,0.38,0.43000000000000005,0.039999999999999925,0.2300000000000001,0.06999999999999995,9,Bakersfield,hot_arid,0.1040505685786889,0.269296376195184,0.1652458076164951,0.13,0.348,0.2179999999999999
Los Angeles,0.45,0.75,0.15,0.54,0.23,0.63,0.9,0.94,0.59,0.8,0.87,0.93,1420819,142082,0.10000007038194168,0.3,0.39,0.4,0.039999999999999925,0.21000000000000008,0.06000000000000005,25,Los Angeles,mild_cool,0.1363248035204273,0.1382469630046141,0.0019221594841867,0.136,0.132,-0.004
Reno,0.66,0.87,0.33,0.77,0.44,0.82,0.92,0.97,0.7,0.9,0.9,0.96,142749,14275,0.10000070053030144,0.20999999999999996,0.44,0.37999999999999995,0.04999999999999993,0.20000000000000007,0.05999999999999994,10,Reno,hot_arid,0.1412063829935387,0.1143245191614722,-0.0268818638320664,0.134,0.106,-0.028
Tucson,0.58,0.76,0.15,0.5,0.24,0.61,0.9,0.93,0.6,0.79,0.88,0.93,533972,53397,0.09999962544852539,0.18000000000000005,0.35,0.37,0.030000000000000027,0.19000000000000006,0.050000000000000044,2,Tucson,hot_arid,0.1121467223844115,0.1940954301815877,0.0819487077971762,0.064,0.25,0.186
Detroit,0.0,0.74,0.0,0.24,0.0,0.36,0.9,0.92,0.47,0.66,0.85,0.9,1110855,111087,0.10000135031124674,0.74,0.24,0.36,0.020000000000000018,0.19000000000000006,0.050000000000000044,29,Detroit,mild_cool,0.1856045223177169,0.1667845786540674,-0.0188199436636495,0.234,0.19,-0.044
Seattle,0.48,0.73,0.02,0.26,0.04,0.38,0.9,0.92,0.49,0.67,0.86,0.9,849563,84957,0.10000082395302055,0.25,0.24000000000000002,0.34,0.020000000000000018,0.18000000000000005,0.040000000000000036,21,Seattle,mild_cool,0.2341759340114519,0.2095499670162837,-0.0246259669951681,0.288,0.262,-0.0259999999999999
