model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
random_forest,outer_fold,0,0,0.02300328878076227,0.043666666666666666
random_forest,outer_fold,0,1,0.04005565084647147,0.056666666666666664
random_forest,outer_fold,0,2,0.052033321127312224,0.058333333333333334
random_forest,outer_fold,0,3,0.06496531881434463,0.058
random_forest,outer_fold,0,4,0.07585847767734478,0.073
random_forest,outer_fold,0,5,0.08467495074980447,0.09233333333333334
random_forest,outer_fold,0,6,0.09298265455422156,0.12533333333333332
random_forest,outer_fold,0,7,0.10343937336197297,0.10433333333333333
random_forest,outer_fold,0,8,0.12266501893474183,0.13
random_forest,outer_fold,0,9,0.1792777592817425,0.23333333333333334
random_forest,outer_fold,1,0,0.01655346439223188,0.062
random_forest,outer_fold,1,1,0.028050452616506422,0.08133333333333333
random_forest,outer_fold,1,2,0.04044157047083967,0.081
random_forest,outer_fold,1,3,0.05336669375272461,0.06
random_forest,outer_fold,1,4,0.0602191901652091,0.057666666666666665
random_forest,outer_fold,1,5,0.06798184728576241,0.08633333333333333
random_forest,outer_fold,1,6,0.08176863620177985,0.10333333333333333
random_forest,outer_fold,1,7,0.10329318057413221,0.11066666666666666
random_forest,outer_fold,1,8,0.12823436520301038,0.146
random_forest,outer_fold,1,9,0.20787285333439334,0.18033333333333335
random_forest,outer_fold,2,0,0.027351342410705384,0.049
random_forest,outer_fold,2,1,0.042460657573732005,0.07
random_forest,outer_fold,2,2,0.05769786023121733,0.081
random_forest,outer_fold,2,3,0.0738048209171851,0.09066666666666667
random_forest,outer_fold,2,4,0.08886808352052757,0.103
random_forest,outer_fold,2,5,0.10321633998263471,0.12333333333333334
random_forest,outer_fold,2,6,0.11961114670377838,0.10733333333333334
random_forest,outer_fold,2,7,0.14063841676038724,0.11633333333333333
random_forest,outer_fold,2,8,0.17235915213201952,0.14
random_forest,outer_fold,2,9,0.2879397483002413,0.142
random_forest,outer_fold,3,0,0.012091693711360828,0.033666666666666664
random_forest,outer_fold,3,1,0.03167821269974149,0.068
random_forest,outer_fold,3,2,0.05534796116955006,0.072
random_forest,outer_fold,3,3,0.0705307182209245,0.077
random_forest,outer_fold,3,4,0.08503334060165398,0.093
random_forest,outer_fold,3,5,0.10415016696213203,0.095
random_forest,outer_fold,3,6,0.12408154839513022,0.1
random_forest,outer_fold,3,7,0.14245298532023626,0.12033333333333333
random_forest,outer_fold,3,8,0.16678086016322405,0.15633333333333332
random_forest,outer_fold,3,9,0.2684923045756158,0.19833333333333333
random_forest,outer_fold,4,0,0.034451754344863784,0.086
random_forest,outer_fold,4,1,0.05000470715522837,0.07366666666666667
random_forest,outer_fold,4,2,0.05921746589973208,0.07233333333333333
random_forest,outer_fold,4,3,0.06914162204992125,0.09
random_forest,outer_fold,4,4,0.08094063593885048,0.058
random_forest,outer_fold,4,5,0.09299081231401235,0.06533333333333333
random_forest,outer_fold,4,6,0.11139578817497303,0.11033333333333334
random_forest,outer_fold,4,7,0.13300953367301396,0.14366666666666666
random_forest,outer_fold,4,8,0.1607939399211613,0.11866666666666667
random_forest,outer_fold,4,9,0.22453349608163237,0.185
random_forest,overall,overall,0,0.020137886621603412,0.052866666666666666
random_forest,overall,overall,1,0.03895686093247434,0.07326666666666666
random_forest,overall,overall,2,0.05308090869198659,0.06753333333333333
random_forest,overall,overall,3,0.0644229528383159,0.0724
random_forest,overall,overall,4,0.0763799199375231,0.08346666666666666
random_forest,overall,overall,5,0.08953431048316293,0.09466666666666666
random_forest,overall,overall,6,0.10485691134639051,0.10806666666666667
random_forest,overall,overall,7,0.12506420810649313,0.12186666666666666
random_forest,overall,overall,8,0.15271140190452445,0.1352
random_forest,overall,overall,9,0.2384156759436643,0.18726666666666666
