model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
random_forest,outer_fold,0,0,0.02093954063151914,0.036333333333333336
random_forest,outer_fold,0,1,0.04029783732773881,0.07133333333333333
random_forest,outer_fold,0,2,0.05353550352391451,0.04833333333333333
random_forest,outer_fold,0,3,0.06467608444317265,0.06466666666666666
random_forest,outer_fold,0,4,0.07412130472916001,0.068
random_forest,outer_fold,0,5,0.08353920464882796,0.10366666666666667
random_forest,outer_fold,0,6,0.09326603890303177,0.12166666666666667
random_forest,outer_fold,0,7,0.10348121881031538,0.144
random_forest,outer_fold,0,8,0.1234346595136677,0.12033333333333333
random_forest,outer_fold,0,9,0.18792453056767663,0.22166666666666668
random_forest,outer_fold,1,0,0.015851457407282204,0.06
random_forest,outer_fold,1,1,0.029075679725173297,0.07633333333333334
random_forest,outer_fold,1,2,0.04225228389385237,0.076
random_forest,outer_fold,1,3,0.0562570628602505,0.06633333333333333
random_forest,outer_fold,1,4,0.06376690819353908,0.07466666666666667
random_forest,outer_fold,1,5,0.07043960739139357,0.07733333333333334
random_forest,outer_fold,1,6,0.08176973629004719,0.09933333333333333
random_forest,outer_fold,1,7,0.10106225785271034,0.12433333333333334
random_forest,outer_fold,1,8,0.136491525572457,0.137
random_forest,outer_fold,1,9,0.2270012861299587,0.20866666666666667
random_forest,outer_fold,2,0,0.0280934583362379,0.0396534488503832
random_forest,outer_fold,2,1,0.046310907340364124,0.06268756252084028
random_forest,outer_fold,2,2,0.06105559326238842,0.079
random_forest,outer_fold,2,3,0.0755739899934261,0.083
random_forest,outer_fold,2,4,0.09309464950300632,0.09266666666666666
random_forest,outer_fold,2,5,0.11341404727696619,0.123
random_forest,outer_fold,2,6,0.13557366722411748,0.121
random_forest,outer_fold,2,7,0.15331031911183127,0.12366666666666666
random_forest,outer_fold,2,8,0.18328421178540408,0.131
random_forest,outer_fold,2,9,0.3244657422070325,0.14433333333333334
random_forest,outer_fold,3,0,0.011556927623112471,0.034
random_forest,outer_fold,3,1,0.032741544133747774,0.07033333333333333
random_forest,outer_fold,3,2,0.0580110457230665,0.074
random_forest,outer_fold,3,3,0.07332938128077203,0.069
random_forest,outer_fold,3,4,0.089004700679065,0.097
random_forest,outer_fold,3,5,0.10694909029336151,0.103
random_forest,outer_fold,3,6,0.12667604329066284,0.08066666666666666
random_forest,outer_fold,3,7,0.14766820088877614,0.10433333333333333
random_forest,outer_fold,3,8,0.17086664227238157,0.15433333333333332
random_forest,outer_fold,3,9,0.2634902606079808,0.21333333333333335
random_forest,outer_fold,4,0,0.036987395683972475,0.058666666666666666
random_forest,outer_fold,4,1,0.051735275211144405,0.06266666666666666
random_forest,outer_fold,4,2,0.060074586084430386,0.07633333333333334
random_forest,outer_fold,4,3,0.06798107462953491,0.104
random_forest,outer_fold,4,4,0.08018493095404824,0.07633333333333334
random_forest,outer_fold,4,5,0.0917665742779088,0.06966666666666667
random_forest,outer_fold,4,6,0.10862053584022059,0.08933333333333333
random_forest,outer_fold,4,7,0.13458195074564464,0.11566666666666667
random_forest,outer_fold,4,8,0.16673229516477245,0.14533333333333334
random_forest,outer_fold,4,9,0.2315683099136444,0.202
random_forest,overall,overall,0,0.01976454882473055,0.049666666666666665
random_forest,overall,overall,1,0.040803868465643434,0.06626666666666667
random_forest,overall,overall,2,0.05548947475309497,0.065
random_forest,overall,overall,3,0.06581260800739014,0.07906666666666666
random_forest,overall,overall,4,0.07682700606336787,0.08113333333333334
random_forest,overall,overall,5,0.09040952494608068,0.09913333333333334
random_forest,overall,overall,6,0.1065288132501683,0.1168
random_forest,overall,overall,7,0.1306596428551135,0.11113333333333333
random_forest,overall,overall,8,0.1609866110270231,0.13573333333333334
random_forest,overall,overall,9,0.2514941032617304,0.19606666666666667
