model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
random_forest,outer_fold,4,0,0.036987395683972475,0.058666666666666666
random_forest,outer_fold,4,1,0.051735275211144405,0.06266666666666666
random_forest,outer_fold,4,2,0.060074586084430386,0.07633333333333334
random_forest,outer_fold,4,3,0.06798107462953491,0.104
random_forest,outer_fold,4,4,0.08018493095404824,0.07633333333333334
random_forest,outer_fold,4,5,0.0917665742779088,0.06966666666666667
random_forest,outer_fold,4,6,0.10862053584022059,0.08933333333333333
random_forest,outer_fold,4,7,0.13458195074564464,0.11566666666666667
random_forest,outer_fold,4,8,0.16673229516477245,0.14533333333333334
random_forest,outer_fold,4,9,0.2315683099136444,0.202
