model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
random_forest,outer_fold,0,0,0.023418097400583867,0.04633333333333333
random_forest,outer_fold,0,1,0.04092728619503993,0.055
random_forest,outer_fold,0,2,0.0530054475764934,0.050333333333333334
random_forest,outer_fold,0,3,0.06516638008146816,0.056
random_forest,outer_fold,0,4,0.07554764132947558,0.06466666666666666
random_forest,outer_fold,0,5,0.08442449625380413,0.091
random_forest,outer_fold,0,6,0.09308572021676541,0.123
random_forest,outer_fold,0,7,0.10418352676283386,0.11566666666666667
random_forest,outer_fold,0,8,0.12072671846151874,0.12933333333333333
random_forest,outer_fold,0,9,0.17677661248178989,0.24366666666666667
random_forest,overall,overall,0,0.023418097400583846,0.04633333333333333
random_forest,overall,overall,1,0.0409272861950399,0.055
random_forest,overall,overall,2,0.053005447576493406,0.050333333333333334
random_forest,overall,overall,3,0.06516638008146818,0.056
random_forest,overall,overall,4,0.07554764132947556,0.06466666666666666
random_forest,overall,overall,5,0.08442449625380416,0.091
random_forest,overall,overall,6,0.09308572021676527,0.123
random_forest,overall,overall,7,0.10418352676283386,0.11566666666666667
random_forest,overall,overall,8,0.12072671846151874,0.12933333333333333
random_forest,overall,overall,9,0.17677661248178966,0.24366666666666667
