model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
random_forest,outer_fold,0,0,0.023418097400583867,0.04633333333333333
random_forest,outer_fold,0,1,0.04092728619503993,0.055
random_forest,outer_fold,0,2,0.0530054475764934,0.050333333333333334
random_forest,outer_fold,0,3,0.06516638008146816,0.056
random_forest,outer_fold,0,4,0.07554764132947558,0.06466666666666666
random_forest,outer_fold,0,5,0.08442449625380413,0.091
random_forest,outer_fold,0,6,0.09308572021676541,0.123
random_forest,outer_fold,0,7,0.10418352676283386,0.11566666666666667
random_forest,outer_fold,0,8,0.12072671846151874,0.12933333333333333
random_forest,outer_fold,0,9,0.17677661248178989,0.24366666666666667
random_forest,outer_fold,1,0,0.014277016062746175,0.053
random_forest,outer_fold,1,1,0.026801806445361568,0.088
random_forest,outer_fold,1,2,0.03923181187934638,0.086
random_forest,outer_fold,1,3,0.052456942776847856,0.06233333333333333
random_forest,outer_fold,1,4,0.06010851980518921,0.054315228257247584
random_forest,outer_fold,1,5,0.06762189631123247,0.09503167722574192
random_forest,outer_fold,1,6,0.08089411427979397,0.096
random_forest,outer_fold,1,7,0.10428871727407259,0.109
random_forest,outer_fold,1,8,0.12949768254785257,0.14433333333333334
random_forest,outer_fold,1,9,0.20966023502097095,0.18066666666666667
random_forest,overall,overall,0,0.017280892371915248,0.051666666666666666
random_forest,overall,overall,1,0.03324160923776159,0.08083333333333333
random_forest,overall,overall,2,0.04688860553009592,0.059166666666666666
random_forest,overall,overall,3,0.05742094471153068,0.0555
random_forest,overall,overall,4,0.06665521627717719,0.07466666666666667
random_forest,overall,overall,5,0.07716685488999722,0.08033333333333334
random_forest,overall,overall,6,0.08964523764859186,0.10466666666666667
random_forest,overall,overall,7,0.10435123954695986,0.11533333333333333
random_forest,overall,overall,8,0.12453446572258535,0.14483333333333334
random_forest,overall,overall,9,0.1938640164155606,0.20483333333333334
