model_name,outer_fold,city_id,city_name,climate_group,row_count,positive_count,prevalence,pr_auc,recall_at_top_10pct
random_forest,0,2,Tucson,hot_arid,5000,521,0.1042,0.2530693999379101,0.32053742802303264
random_forest,0,9,Bakersfield,hot_arid,5000,478,0.0956,0.25397745558535956,0.36610878661087864
random_forest,0,13,Richmond,hot_humid,5000,479,0.0958,0.2400088107067661,0.30062630480167013
random_forest,0,15,Tampa,hot_humid,5000,470,0.094,0.22046724532564035,0.26170212765957446
random_forest,0,18,Atlanta,hot_humid,5000,509,0.1018,0.21418430013225395,0.2475442043222004
random_forest,0,24,San Jose,mild_cool,5000,468,0.0936,0.10464801860984702,0.13034188034188035
random_forest,1,6,Denver,hot_arid,5000,519,0.1038,0.15405092328706232,0.1907514450867052
random_forest,1,7,Salt Lake City,hot_arid,5000,462,0.0924,0.11542838901139883,0.13852813852813853
random_forest,1,8,Fresno,hot_arid,5000,471,0.0942,0.18061632413561818,0.25902335456475584
random_forest,1,22,Portland,mild_cool,5000,500,0.1,0.232326623927954,0.302
random_forest,1,27,Chicago,mild_cool,5000,480,0.096,0.22050954655079144,0.2375
random_forest,1,28,Minneapolis,mild_cool,5000,474,0.0948,0.1025140652466349,0.12869198312236288
