model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
random_forest,outer_fold,0,0,0.02093954063151914,0.036333333333333336
random_forest,outer_fold,0,1,0.04029783732773881,0.07133333333333333
random_forest,outer_fold,0,2,0.05353550352391451,0.04833333333333333
random_forest,outer_fold,0,3,0.06467608444317265,0.06466666666666666
random_forest,outer_fold,0,4,0.07412130472916001,0.068
random_forest,outer_fold,0,5,0.08353920464882796,0.10366666666666667
random_forest,outer_fold,0,6,0.09326603890303177,0.12166666666666667
random_forest,outer_fold,0,7,0.10348121881031538,0.144
random_forest,outer_fold,0,8,0.1234346595136677,0.12033333333333333
random_forest,outer_fold,0,9,0.18792453056767663,0.22166666666666668
random_forest,outer_fold,1,0,0.014876811062992405,0.060333333333333336
random_forest,outer_fold,1,1,0.02843702787483195,0.07333333333333333
random_forest,outer_fold,1,2,0.04214443202993463,0.078
random_forest,outer_fold,1,3,0.05632173426685274,0.068
random_forest,outer_fold,1,4,0.06408032157507187,0.06766666666666667
random_forest,outer_fold,1,5,0.07103340212302352,0.08466666666666667
random_forest,outer_fold,1,6,0.08227074654230436,0.09966666666666667
random_forest,outer_fold,1,7,0.1009555333515072,0.12
random_forest,outer_fold,1,8,0.1362100718535278,0.139
random_forest,outer_fold,1,9,0.22704515030111297,0.20933333333333334
random_forest,outer_fold,2,0,0.028052803562402404,0.04033333333333333
random_forest,outer_fold,2,1,0.04647965051406552,0.06233333333333333
random_forest,outer_fold,2,2,0.06129092816439441,0.07966666666666666
random_forest,outer_fold,2,3,0.07560563592246226,0.085
random_forest,outer_fold,2,4,0.09267610437990388,0.09366666666666666
random_forest,outer_fold,2,5,0.11344676569810508,0.12033333333333333
random_forest,outer_fold,2,6,0.13795091099414192,0.12066666666666667
random_forest,outer_fold,2,7,0.15737857496826443,0.12566666666666668
random_forest,outer_fold,2,8,0.18610673141480386,0.13333333333333333
random_forest,outer_fold,2,9,0.32282885847878323,0.139
random_forest,outer_fold,3,0,0.011556927623112471,0.034
random_forest,outer_fold,3,1,0.032741544133747774,0.07033333333333333
random_forest,outer_fold,3,2,0.0580110457230665,0.074
random_forest,outer_fold,3,3,0.07332938128077203,0.069
random_forest,outer_fold,3,4,0.089004700679065,0.097
random_forest,outer_fold,3,5,0.10694909029336151,0.103
random_forest,outer_fold,3,6,0.12667604329066284,0.08066666666666666
random_forest,outer_fold,3,7,0.14766820088877614,0.10433333333333333
random_forest,outer_fold,3,8,0.17086664227238157,0.15433333333333332
random_forest,outer_fold,3,9,0.2634902606079808,0.21333333333333335
random_forest,outer_fold,4,0,0.03708052459601584,0.062
random_forest,outer_fold,4,1,0.05188030403347193,0.06333333333333334
random_forest,outer_fold,4,2,0.06006822659682653,0.074
random_forest,outer_fold,4,3,0.06781075515630905,0.104
random_forest,outer_fold,4,4,0.07992800553999473,0.07266666666666667
random_forest,outer_fold,4,5,0.09190426315903592,0.077
random_forest,outer_fold,4,6,0.1095967044924308,0.08333333333333333
random_forest,outer_fold,4,7,0.13464295681603378,0.11666666666666667
random_forest,outer_fold,4,8,0.16695589031241742,0.14266666666666666
random_forest,outer_fold,4,9,0.2314291426481253,0.20433333333333334
random_forest,overall,overall,0,0.019461535554646206,0.04973333333333333
random_forest,overall,overall,1,0.04081032079138133,0.067
random_forest,overall,overall,2,0.05555856821355204,0.06566666666666666
random_forest,overall,overall,3,0.06593978463587247,0.0764
random_forest,overall,overall,4,0.07690135837402974,0.08346666666666666
random_forest,overall,overall,5,0.09035373034595297,0.0992
random_forest,overall,overall,6,0.10667557978897751,0.1152
random_forest,overall,overall,7,0.13117325678694816,0.11146666666666667
random_forest,overall,overall,8,0.1621579435137041,0.1374
random_forest,overall,overall,9,0.2513676676591545,0.19446666666666668
