model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
random_forest,outer_fold,3,0,0.011556927623112471,0.034
random_forest,outer_fold,3,1,0.032741544133747774,0.07033333333333333
random_forest,outer_fold,3,2,0.0580110457230665,0.074
random_forest,outer_fold,3,3,0.07332938128077203,0.069
random_forest,outer_fold,3,4,0.089004700679065,0.097
random_forest,outer_fold,3,5,0.10694909029336151,0.103
random_forest,outer_fold,3,6,0.12667604329066284,0.08066666666666666
random_forest,outer_fold,3,7,0.14766820088877614,0.10433333333333333
random_forest,outer_fold,3,8,0.17086664227238157,0.15433333333333332
random_forest,outer_fold,3,9,0.2634902606079808,0.21333333333333335
