timestamp_utc,phase,outer_fold_index,completed_inner_fits,completed_candidates,estimated_total_inner_fits,current_inner_cv_split_count,elapsed_wall_time_seconds,average_seconds_per_completed_fit,eta_seconds,current_params_json,note
2026-04-11T20:38:15.333340+00:00,startup,,0,0,60,,0.0020105838775634766,,,,startup
2026-04-11T20:38:15.371017+00:00,data_load,,0,0,60,,0.0396878719329834,,,,sampled_city_preload_started
2026-04-11T20:38:53.505381+00:00,data_load,0,0,0,60,3,38.17405128479004,,,,outer_fold_started
2026-04-11T20:38:53.997598+00:00,preprocess,0,0,0,60,3,38.66626834869385,,,,preprocess_complete
2026-04-11T20:38:54.036864+00:00,tuning,0,0,0,60,3,38.7055344581604,,,,grid_search_started
2026-04-11T20:39:29.284189+00:00,tuning,0,1,0,60,3,73.95285964012146,73.95285964012146,4363.218718767166,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:40:05.744642+00:00,tuning,0,2,0,60,3,110.41331195831299,55.206655979156494,3201.9860467910767,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:40:40.560417+00:00,tuning,0,3,1,60,3,145.22908687591553,48.409695625305176,2759.352650642395,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:41:14.320900+00:00,tuning,0,4,1,60,3,178.98957061767578,44.747392654418945,2505.853988647461,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:41:46.224154+00:00,tuning,0,5,1,60,3,210.8928246498108,42.17856492996216,2319.8210711479187,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:42:19.706299+00:00,tuning,0,6,2,60,3,244.37496995925903,40.7291616598765,2199.3747296333313,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:43:13.357795+00:00,tuning,0,7,2,60,3,298.0264654159546,42.57520934513637,2256.4860952922277,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:44:04.897661+00:00,tuning,0,8,2,60,3,349.5663311481476,43.69579139351845,2272.1811524629593,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:45:01.485814+00:00,tuning,0,9,3,60,3,406.1544840335846,45.12827600373162,2301.542076190313,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:45:51.814103+00:00,tuning,0,10,3,60,3,456.482773065567,45.6482773065567,2282.413865327835,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:46:39.479944+00:00,tuning,0,11,3,60,3,504.1486144065857,45.83169221878052,2245.7529187202454,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:47:25.991064+00:00,tuning,0,12,4,60,3,550.6597347259521,45.88831122716268,2202.6389389038086,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:48:15.759246+00:00,refit,0,12,4,60,3,600.4279160499573,50.03565967082977,2401.711664199829,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",grid_search_fit_complete
2026-04-11T20:48:15.798084+00:00,prediction,0,12,4,60,3,600.4667544364929,50.03889620304108,2401.8670177459717,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",heldout_prediction_started
2026-04-11T20:48:16.793837+00:00,metrics,0,12,4,60,3,601.4625074863434,50.121875623861946,2405.8500299453735,,outer_fold_completed
2026-04-11T20:48:16.878487+00:00,data_load,1,12,4,60,3,601.5471577644348,50.128929813702904,2406.1886310577393,,outer_fold_started
2026-04-11T20:48:17.290802+00:00,preprocess,1,12,4,60,3,601.9594724178314,50.16328936815262,2407.8378896713257,,preprocess_complete
2026-04-11T20:48:17.330511+00:00,tuning,1,12,4,60,3,601.9991817474365,50.16659847895304,2407.996726989746,,grid_search_started
2026-04-11T20:48:44.946044+00:00,tuning,1,13,4,60,3,629.6147141456604,48.431901088127724,2276.299351142003,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:49:03.186246+00:00,tuning,1,14,4,60,3,647.8549165725708,46.275351183755056,2128.6661544527324,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:49:22.186672+00:00,tuning,1,15,5,60,3,666.8553423881531,44.45702282587687,2000.5660271644592,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:49:45.626854+00:00,tuning,1,16,5,60,3,690.2955243587494,43.14347027242184,1898.3126919865608,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:50:21.075493+00:00,tuning,1,17,5,60,3,725.7441635131836,42.690833147834326,1835.705825356876,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:50:55.233301+00:00,tuning,1,18,6,60,3,759.9019718170166,42.21677621205648,1773.104600906372,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",inner_fit_completed
2026-04-11T20:51:53.268765+00:00,tuning,1,19,6,60,3,817.9374351501465,43.049338692112975,1765.022886376632,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",inner_fit_completed
