model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
random_forest,outer_fold,0,0,0.019474486575135355,0.031
random_forest,outer_fold,0,1,0.0340600024872571,0.04033333333333333
random_forest,outer_fold,0,2,0.04341211378912959,0.050666666666666665
random_forest,outer_fold,0,3,0.054267037514344044,0.076
random_forest,outer_fold,0,4,0.06858291158771138,0.07266666666666667
random_forest,outer_fold,0,5,0.07677090286350631,0.084
random_forest,outer_fold,0,6,0.08852923298368964,0.121
random_forest,outer_fold,0,7,0.10803867452550056,0.14266666666666666
random_forest,outer_fold,0,8,0.1372454295602388,0.18933333333333333
random_forest,outer_fold,0,9,0.20019992160931555,0.20166666666666666
random_forest,overall,overall,0,0.019474486575135355,0.031
random_forest,overall,overall,1,0.03406000248725715,0.04033333333333333
random_forest,overall,overall,2,0.04341211378912958,0.050666666666666665
random_forest,overall,overall,3,0.05426703751434396,0.076
random_forest,overall,overall,4,0.06858291158771136,0.07266666666666667
random_forest,overall,overall,5,0.07677090286350625,0.084
random_forest,overall,overall,6,0.08852923298368982,0.121
random_forest,overall,overall,7,0.1080386745255005,0.14266666666666666
random_forest,overall,overall,8,0.13724542956023877,0.18933333333333333
random_forest,overall,overall,9,0.2001999216093155,0.20166666666666666
