model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate
random_forest,outer_fold,0,0,0.019462163054160972,0.031
random_forest,outer_fold,0,1,0.034063910251735455,0.03933333333333333
random_forest,outer_fold,0,2,0.04344495828501634,0.050333333333333334
random_forest,outer_fold,0,3,0.05429767813060189,0.077
random_forest,outer_fold,0,4,0.06850856654914009,0.07266666666666667
random_forest,outer_fold,0,5,0.07678035527651733,0.08433333333333333
random_forest,outer_fold,0,6,0.08850678039521044,0.121
random_forest,outer_fold,0,7,0.10802361673069515,0.14233333333333334
random_forest,outer_fold,0,8,0.1372119319258018,0.19
random_forest,outer_fold,0,9,0.20008402676866605,0.20133333333333334
random_forest,overall,overall,0,0.019462163054160993,0.031
random_forest,overall,overall,1,0.03406391025173537,0.03933333333333333
random_forest,overall,overall,2,0.043444958285016384,0.050333333333333334
random_forest,overall,overall,3,0.0542976781306018,0.077
random_forest,overall,overall,4,0.06850856654914013,0.07266666666666667
random_forest,overall,overall,5,0.07678035527651741,0.08433333333333333
random_forest,overall,overall,6,0.0885067803952106,0.121
random_forest,overall,overall,7,0.10802361673069513,0.14233333333333334
random_forest,overall,overall,8,0.13721193192580175,0.19
random_forest,overall,overall,9,0.20008402676866596,0.20133333333333334
