feature_name,base_feature_name,fold_count,median_coefficient,median_abs_coefficient,median_absolute_rank,majority_sign,sign_consistency
climate_group_hot_arid,climate_group,5,-2.188523079515004,2.188523079515004,1.0,negative,1.0
climate_group_mild_cool,climate_group,5,-1.5101158398315633,1.5101158398315633,2.0,negative,1.0
climate_group_hot_humid,climate_group,5,-1.191148949121579,1.191148949121579,4.0,negative,0.6
land_cover_class_90,land_cover_class,5,-1.1035982780572173,1.1035982780572173,4.0,negative,1.0
land_cover_class_31,land_cover_class,5,1.0783160768322064,1.0783160768322064,5.0,positive,0.8
land_cover_class_43,land_cover_class,5,-0.8465056789014666,0.8465056789014666,6.0,negative,1.0
land_cover_class_82,land_cover_class,5,0.6290236970413055,0.6290236970413055,7.0,positive,1.0
land_cover_class_41,land_cover_class,5,-0.7940502349083809,0.7940502349083809,8.0,negative,1.0
land_cover_class_42,land_cover_class,5,-0.7883514662852057,0.7883514662852057,8.0,negative,1.0
land_cover_class_22,land_cover_class,5,-0.5497014305358718,0.5497014305358718,11.0,negative,1.0
ndvi_median_may_aug,ndvi_median_may_aug,5,-0.4372407863683744,0.4372407863683744,12.0,negative,1.0
land_cover_class_71,land_cover_class,5,0.3633298833722638,0.3633298833722638,12.0,positive,1.0
land_cover_class_23,land_cover_class,5,-0.5356899048434791,0.5356899048434791,13.0,negative,1.0
land_cover_class_81,land_cover_class,5,-0.4284382807782551,0.4284382807782551,14.0,negative,1.0
land_cover_class_21,land_cover_class,5,-0.37012463918687505,0.37012463918687505,15.0,negative,1.0
land_cover_class_24,land_cover_class,5,-0.3540113453183141,0.3540113453183141,16.0,negative,0.8
impervious_pct,impervious_pct,5,0.2840923654387594,0.2840923654387594,17.0,positive,1.0
land_cover_class_95,land_cover_class,5,-0.2576996230275189,0.2576996230275189,17.0,negative,0.8
land_cover_class_52,land_cover_class,5,0.27811139899178144,0.27811139899178144,18.0,positive,1.0
elevation_m,elevation_m,5,0.04599097744642669,0.05111242066782857,20.0,positive,0.8
dist_to_water_m,dist_to_water_m,5,0.012204703296853376,0.012204703296853376,21.0,positive,0.8
