outer_fold,feature_name,base_feature_name,category_level
0,climate_group_hot_arid,climate_group,hot_arid
0,climate_group_hot_humid,climate_group,hot_humid
0,climate_group_mild_cool,climate_group,mild_cool
0,dist_to_water_m,dist_to_water_m,
0,elevation_m,elevation_m,
0,impervious_pct,impervious_pct,
0,land_cover_class_21,land_cover_class,21
0,land_cover_class_22,land_cover_class,22
0,land_cover_class_23,land_cover_class,23
0,land_cover_class_24,land_cover_class,24
0,land_cover_class_31,land_cover_class,31
0,land_cover_class_41,land_cover_class,41
0,land_cover_class_42,land_cover_class,42
0,land_cover_class_43,land_cover_class,43
0,land_cover_class_52,land_cover_class,52
0,land_cover_class_71,land_cover_class,71
0,land_cover_class_81,land_cover_class,81
0,land_cover_class_82,land_cover_class,82
0,land_cover_class_90,land_cover_class,90
0,land_cover_class_95,land_cover_class,95
0,ndvi_median_may_aug,ndvi_median_may_aug,
1,climate_group_hot_arid,climate_group,hot_arid
1,climate_group_hot_humid,climate_group,hot_humid
1,climate_group_mild_cool,climate_group,mild_cool
1,dist_to_water_m,dist_to_water_m,
1,elevation_m,elevation_m,
1,impervious_pct,impervious_pct,
1,land_cover_class_21,land_cover_class,21
1,land_cover_class_22,land_cover_class,22
1,land_cover_class_23,land_cover_class,23
1,land_cover_class_24,land_cover_class,24
1,land_cover_class_31,land_cover_class,31
1,land_cover_class_41,land_cover_class,41
1,land_cover_class_42,land_cover_class,42
1,land_cover_class_43,land_cover_class,43
1,land_cover_class_52,land_cover_class,52
1,land_cover_class_71,land_cover_class,71
1,land_cover_class_81,land_cover_class,81
1,land_cover_class_82,land_cover_class,82
1,land_cover_class_90,land_cover_class,90
1,land_cover_class_95,land_cover_class,95
1,ndvi_median_may_aug,ndvi_median_may_aug,
2,climate_group_hot_arid,climate_group,hot_arid
2,climate_group_hot_humid,climate_group,hot_humid
2,climate_group_mild_cool,climate_group,mild_cool
2,dist_to_water_m,dist_to_water_m,
2,elevation_m,elevation_m,
2,impervious_pct,impervious_pct,
2,land_cover_class_21,land_cover_class,21
2,land_cover_class_22,land_cover_class,22
2,land_cover_class_23,land_cover_class,23
2,land_cover_class_24,land_cover_class,24
2,land_cover_class_31,land_cover_class,31
2,land_cover_class_41,land_cover_class,41
2,land_cover_class_42,land_cover_class,42
2,land_cover_class_43,land_cover_class,43
2,land_cover_class_52,land_cover_class,52
2,land_cover_class_71,land_cover_class,71
2,land_cover_class_81,land_cover_class,81
2,land_cover_class_82,land_cover_class,82
2,land_cover_class_90,land_cover_class,90
2,land_cover_class_95,land_cover_class,95
2,ndvi_median_may_aug,ndvi_median_may_aug,
3,climate_group_hot_arid,climate_group,hot_arid
3,climate_group_hot_humid,climate_group,hot_humid
3,climate_group_mild_cool,climate_group,mild_cool
3,dist_to_water_m,dist_to_water_m,
3,elevation_m,elevation_m,
3,impervious_pct,impervious_pct,
3,land_cover_class_21,land_cover_class,21
3,land_cover_class_22,land_cover_class,22
3,land_cover_class_23,land_cover_class,23
3,land_cover_class_24,land_cover_class,24
3,land_cover_class_31,land_cover_class,31
3,land_cover_class_41,land_cover_class,41
3,land_cover_class_42,land_cover_class,42
3,land_cover_class_43,land_cover_class,43
3,land_cover_class_52,land_cover_class,52
3,land_cover_class_71,land_cover_class,71
3,land_cover_class_81,land_cover_class,81
3,land_cover_class_82,land_cover_class,82
3,land_cover_class_90,land_cover_class,90
3,land_cover_class_95,land_cover_class,95
3,ndvi_median_may_aug,ndvi_median_may_aug,
4,climate_group_hot_arid,climate_group,hot_arid
4,climate_group_hot_humid,climate_group,hot_humid
4,climate_group_mild_cool,climate_group,mild_cool
4,dist_to_water_m,dist_to_water_m,
4,elevation_m,elevation_m,
4,impervious_pct,impervious_pct,
4,land_cover_class_21,land_cover_class,21
4,land_cover_class_22,land_cover_class,22
4,land_cover_class_23,land_cover_class,23
4,land_cover_class_24,land_cover_class,24
4,land_cover_class_31,land_cover_class,31
4,land_cover_class_41,land_cover_class,41
4,land_cover_class_42,land_cover_class,42
4,land_cover_class_43,land_cover_class,43
4,land_cover_class_52,land_cover_class,52
4,land_cover_class_71,land_cover_class,71
4,land_cover_class_81,land_cover_class,81
4,land_cover_class_82,land_cover_class,82
4,land_cover_class_90,land_cover_class,90
4,land_cover_class_95,land_cover_class,95
4,ndvi_median_may_aug,ndvi_median_may_aug,
