city_id,city_name,climate_group,outer_fold,model_name,source_reference_run_dir,training_sample_rows_per_city,prediction_scope,row_count,valid_cell_count,scale_label,smoothing_radius_m,smoothing_method,smoothing_sigma_m,threshold_fraction,spearman_surface_corr,top_region_overlap_fraction,observed_mass_captured,centroid_distance_m,median_nearest_region_distance_m,observed_top_cell_count,predicted_top_cell_count,overlap_cell_count,grid_cell_size_m,projected_crs,grid_reconstruction_status
2,Tucson,hot_arid,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1779906,1779906,fine,150.0,gaussian,75.0,0.1,0.26858778906500597,0.2002252221877571,0.3215600822241345,4233.209461500677,228.47319317591726,177991,177991,59386,30.0,EPSG:32612,ok
2,Tucson,hot_arid,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1779906,1779906,medium,300.0,gaussian,150.0,0.1,0.26932699579092373,0.2071810557942534,0.31924060381768377,4317.525526598968,480.0,177991,177991,61095,30.0,EPSG:32612,ok
2,Tucson,hot_arid,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1779906,1779906,broad,600.0,gaussian,300.0,0.1,0.25168510966975627,0.21798187989270268,0.3079413889084223,4226.931703807347,1074.1508273980894,177991,177991,63710,30.0,EPSG:32612,ok
9,Bakersfield,hot_arid,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,382964,382964,fine,150.0,gaussian,75.0,0.1,0.2944154492219155,0.24747960064496163,0.3694855747329018,1725.789861925633,90.0,38297,38297,15195,30.0,EPSG:32611,ok
9,Bakersfield,hot_arid,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,382964,382964,medium,300.0,gaussian,150.0,0.1,0.3059708474931191,0.27780187514597443,0.36867887694804435,1828.7313022950711,84.8528137423857,38297,38297,16652,30.0,EPSG:32611,ok
9,Bakersfield,hot_arid,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,382964,382964,broad,600.0,gaussian,300.0,0.1,0.28583092576085833,0.3115186383794798,0.3523098180003012,2184.01014021241,60.0,38297,38297,18193,30.0,EPSG:32611,ok
13,Richmond,hot_humid,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1481846,1481846,fine,150.0,gaussian,75.0,0.1,0.4274507837948237,0.20259533683381892,0.3172452449607341,11031.118657746842,150.0,148185,148185,49928,30.0,EPSG:32618,ok
13,Richmond,hot_humid,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1481846,1481846,medium,300.0,gaussian,150.0,0.1,0.4813389604232909,0.21413355182302335,0.3174691197979667,12298.042265379998,240.0,148185,148185,52270,30.0,EPSG:32618,ok
13,Richmond,hot_humid,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1481846,1481846,broad,600.0,gaussian,300.0,0.1,0.5210278872113736,0.21877197527665718,0.3027408317447887,14462.568322349218,371.07950630558946,148185,148185,53199,30.0,EPSG:32618,ok
15,Tampa,hot_humid,0,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,2847118,2847118,fine,150.0,gaussian,75.0,0.1,0.42569706184670014,0.13999939939338732,0.23458923669190038,9464.057630635512,234.30749027719963,284712,284712,69929,30.0,EPSG:32617,ok
