city_id,city_name,climate_group,model_name,held_out_block,spatial_split_id,split_seed,tuning_preset,best_params_json,best_inner_cv_average_precision
10,Reno,hot_arid,logistic_saga,southwest,1,42,smoke,"{""model__C"": 1.0, ""model__l1_ratio"": 0.0}",0.5179450426364197
10,Reno,hot_arid,logistic_saga,southeast,2,43,smoke,"{""model__C"": 1.0, ""model__l1_ratio"": 0.0}",0.47261736642901214
10,Reno,hot_arid,logistic_saga,northwest,3,44,smoke,"{""model__C"": 1.0, ""model__l1_ratio"": 0.0}",0.5153080787378641
10,Reno,hot_arid,logistic_saga,northeast,4,45,smoke,"{""model__C"": 1.0, ""model__l1_ratio"": 1.0}",0.5515841626953707
19,Charlotte,hot_humid,logistic_saga,southwest,1,42,smoke,"{""model__C"": 0.1, ""model__l1_ratio"": 0.0}",0.1382274964435957
19,Charlotte,hot_humid,logistic_saga,southeast,2,43,smoke,"{""model__C"": 0.1, ""model__l1_ratio"": 0.0}",0.15333507602310925
19,Charlotte,hot_humid,logistic_saga,northwest,3,44,smoke,"{""model__C"": 0.1, ""model__l1_ratio"": 0.0}",0.16601218806603654
19,Charlotte,hot_humid,logistic_saga,northeast,4,45,smoke,"{""model__C"": 0.1, ""model__l1_ratio"": 0.0}",0.15269840155130296
29,Detroit,mild_cool,logistic_saga,southwest,1,42,smoke,"{""model__C"": 1.0, ""model__l1_ratio"": 1.0}",0.14918163216496474
29,Detroit,mild_cool,logistic_saga,southeast,2,43,smoke,"{""model__C"": 1.0, ""model__l1_ratio"": 1.0}",0.21841611066689615
29,Detroit,mild_cool,logistic_saga,northwest,3,44,smoke,"{""model__C"": 1.0, ""model__l1_ratio"": 1.0}",0.1847533526942129
29,Detroit,mild_cool,logistic_saga,northeast,4,45,smoke,"{""model__C"": 1.0, ""model__l1_ratio"": 1.0}",0.1885745008388178
