model_name,scope_name,scope_value,bin_index,predicted_probability_mean,observed_positive_rate,city_id,city_name,climate_group
logistic_saga,within_city_spatial_city_model,Reno:logistic_saga,0,0.00024287636900465184,0.0005,10,Reno,hot_arid
logistic_saga,within_city_spatial_city_model,Reno:logistic_saga,1,0.0019497443181655304,0.0035,10,Reno,hot_arid
logistic_saga,within_city_spatial_city_model,Reno:logistic_saga,2,0.005419772705350789,0.025,10,Reno,hot_arid
logistic_saga,within_city_spatial_city_model,Reno:logistic_saga,3,0.010837286480038366,0.033,10,Reno,hot_arid
logistic_saga,within_city_spatial_city_model,Reno:logistic_saga,4,0.019881581174298304,0.0435,10,Reno,hot_arid
logistic_saga,within_city_spatial_city_model,Reno:logistic_saga,5,0.033489305427285995,0.116,10,Reno,hot_arid
logistic_saga,within_city_spatial_city_model,Reno:logistic_saga,6,0.05548537569673155,0.146,10,Reno,hot_arid
logistic_saga,within_city_spatial_city_model,Reno:logistic_saga,7,0.11356500726737997,0.134,10,Reno,hot_arid
logistic_saga,within_city_spatial_city_model,Reno:logistic_saga,8,0.24978384099560863,0.1185,10,Reno,hot_arid
logistic_saga,within_city_spatial_city_model,Reno:logistic_saga,9,0.5449894177512628,0.38,10,Reno,hot_arid
logistic_saga,within_city_spatial_city_model,Charlotte:logistic_saga,0,0.03382790402312309,0.066,19,Charlotte,hot_humid
logistic_saga,within_city_spatial_city_model,Charlotte:logistic_saga,1,0.04702479362458432,0.075,19,Charlotte,hot_humid
logistic_saga,within_city_spatial_city_model,Charlotte:logistic_saga,2,0.05653628440816547,0.0725,19,Charlotte,hot_humid
logistic_saga,within_city_spatial_city_model,Charlotte:logistic_saga,3,0.06581983502073852,0.0705,19,Charlotte,hot_humid
logistic_saga,within_city_spatial_city_model,Charlotte:logistic_saga,4,0.07544778514488937,0.0815,19,Charlotte,hot_humid
logistic_saga,within_city_spatial_city_model,Charlotte:logistic_saga,5,0.0861963904345246,0.118,19,Charlotte,hot_humid
logistic_saga,within_city_spatial_city_model,Charlotte:logistic_saga,6,0.09970680863644421,0.108,19,Charlotte,hot_humid
logistic_saga,within_city_spatial_city_model,Charlotte:logistic_saga,7,0.1180209254042236,0.1235,19,Charlotte,hot_humid
logistic_saga,within_city_spatial_city_model,Charlotte:logistic_saga,8,0.14421904193527013,0.1325,19,Charlotte,hot_humid
logistic_saga,within_city_spatial_city_model,Charlotte:logistic_saga,9,0.2084252012809673,0.1525,19,Charlotte,hot_humid
logistic_saga,within_city_spatial_city_model,Detroit:logistic_saga,0,0.012094390948488253,0.0595,29,Detroit,mild_cool
logistic_saga,within_city_spatial_city_model,Detroit:logistic_saga,1,0.02650558489620796,0.1315,29,Detroit,mild_cool
logistic_saga,within_city_spatial_city_model,Detroit:logistic_saga,2,0.042629554435925844,0.138,29,Detroit,mild_cool
logistic_saga,within_city_spatial_city_model,Detroit:logistic_saga,3,0.05949049500634856,0.1015,29,Detroit,mild_cool
logistic_saga,within_city_spatial_city_model,Detroit:logistic_saga,4,0.07574763891221253,0.0755,29,Detroit,mild_cool
logistic_saga,within_city_spatial_city_model,Detroit:logistic_saga,5,0.0944192004969334,0.071,29,Detroit,mild_cool
logistic_saga,within_city_spatial_city_model,Detroit:logistic_saga,6,0.11782563774508954,0.073,29,Detroit,mild_cool
logistic_saga,within_city_spatial_city_model,Detroit:logistic_saga,7,0.14968105849738725,0.0835,29,Detroit,mild_cool
logistic_saga,within_city_spatial_city_model,Detroit:logistic_saga,8,0.18801222312245544,0.1175,29,Detroit,mild_cool
logistic_saga,within_city_spatial_city_model,Detroit:logistic_saga,9,0.27674766920424265,0.149,29,Detroit,mild_cool
