land_cover_class,n_rows,land_cover_label,share_pct
52,1441117,Shrub/Scrub,30.43181156361411
23,1384313,"Developed, Medium Intensity",29.232291591218022
22,972106,"Developed, Low Intensity",20.52778963252717
21,499963,"Developed, Open Space",10.557629814081162
24,213895,"Developed, High Intensity",4.516782700085587
82,209095,Cultivated Crops,4.4154219531751355
90,6585,Woody Wetlands,0.1390542746677743
71,4269,Grassland/Herbaceous,0.09014771428348194
95,1945,Emergent Herbaceous Wetlands,0.04107221932100547
81,1407,Pasture/Hay,0.02971136893812581
31,842,Barren Land,0.017780364353874863
42,20,Evergreen Forest,0.00042233644546021054
43,3,Mixed Forest,6.335046681903157e-05
41,1,Deciduous Forest,2.1116822273010528e-05
